stem	word_m	lang_GT_API	stopword	remove?	index
finest	finest	en	False	False	
london	london	en	False	False	
hook	hook	en	False	False	
tennesse	tennessee	en	False	False	
dreamer	dreamer	en	False	False	
gentl	gentle	en	False	False	
fit	fit	en	False	False	
fix	fix	en	False	False	
crew	crew	en	False	False	
better	better	en	False	False	
spoken	spoken	en	False	False	
offic	office	en	False	False	
fade	fade	en	False	False	
hidden	hidden	en	False	False	
easier	easier	en	False	False	
split	split	en	False	False	
anim	animal	en	False	False	
trippin	trippin'	en	False	False	
thee	thee	en	False	False	
safe	safe	en	False	False	
disturb	disturb	en	False	False	
break	break	en	False	False	
band	band	en	False	False	
bang	bang	en	False	False	
promis	promise	en	False	False	
battl	battle	en	False	False	
one	one	en	False	False	
silver	silver	en	False	False	
bank	bank	en	False	False	
bread	bread	en	False	False	
choic	choice	en	False	False	
victori	victory	en	False	False	
sleepless	sleepless	en	False	False	
choir	choir	en	False	False	
holdin	holdin'	en	False	False	
rocki	rocky	en	False	False	
arrow	arrow	en	False	False	
puppet	puppet	en	False	False	
went	went	en	False	False	
side	side	en	False	False	
bone	bones	en	False	False	
mean	mean	en	False	False	
overflow	overflow	en	False	False	
spider	spider	en	False	False	
tip	tip	en	False	False	
taught	taught	en	False	False	
forgot	forgot	en	False	False	
dawn	dawn	en	False	False	
despis	despise	en	False	False	
saturday	saturday	en	False	False	
whip	whip	en	False	False	
fragil	fragile	en	False	False	
depress	depression	en	False	False	
gon	gon'	en	False	False	
velvet	velvet	en	False	False	
goe	goes	en	False	False	
god	god	en	False	False	
content	content	en	False	False	
laid	laid	en	False	False	
branch	branches	en	False	False	
got	got	en	False	False	
forth	forth	en	False	False	
swell	swell	en	False	False	
smart	smart	en	False	False	
written	written	en	False	False	
hang	hang	en	False	False	
nightmar	nightmare	en	False	False	
situat	situation	en	False	False	
infin	infinity	en	False	False	
free	free	en	False	False	
redempt	redemption	en	False	False	
boulevard	boulevard	en	False	False	
evil	evil	en	False	False	
silent	silent	en	False	False	
dancin	dancin'	en	False	False	
ate	ate	en	False	False	
sunshin	sunshine	en	False	False	
puzzl	puzzle	en	False	False	
ritual	ritual	en	False	False	
cosmic	cosmic	en	False	False	
rais	raise	en	False	False	
hopeless	hopeless	en	False	False	
can’t	can’t	en	False	False	
loud	loud	en	False	False	
bite	bite	en	False	False	
fuckin	fuckin'	en	False	False	
fantasi	fantasy	en	False	False	
rang	range	en	False	False	
slept	slept	en	False	False	
jamaica	jamaica	en	False	False	
trembl	tremble	en	False	False	
independ	independent	en	False	False	
wast	waste	en	False	False	
system	system	en	False	False	
wash	wash	en	False	False	
alreadi	already	en	False	False	
comin	comin'	en	False	False	
thick	thick	en	False	False	
agre	agree	en	False	False	
hood	hood	en	False	False	
inch	inch	en	False	False	
top	top	en	False	False	
sometim	sometimes	en	False	False	
fiction	fiction	en	False	False	
tabl	table	en	False	False	
tom	tom	en	False	False	
rockin	rockin'	en	False	False	
dwell	dwell	en	False	False	
hollywood	hollywood	en	False	False	
john	john	en	False	False	
bitter	bitter	en	False	False	
listen	listen	en	False	False	
murder	murder	en	False	False	
consol	consolation	en	False	False	
tool	tool	en	False	False	
took	took	en	False	False	
wisdom	wisdom	en	False	False	
western	western	en	False	False	
crawl	crawl	en	False	False	
cri	cry	en	False	False	
preacher	preacher	en	False	False	
silli	silly	en	False	False	
target	target	en	False	False	
thirsti	thirsty	en	False	False	
provid	provide	en	False	False	
coward	coward	en	False	False	
tree	tree	en	False	False	
hors	horse	en	False	False	
shower	shower	en	False	False	
matter	matter	en	False	False	
flame	flame	en	False	False	
minut	minute	en	False	False	
rag	rag	en	False	False	
fashion	fashion	en	False	False	
ran	ran	en	False	False	
mind	mind	en	False	False	
mine	mine	en	False	False	
drip	drip	en	False	False	
raw	raw	en	False	False	
rat	rat	en	False	False	
seed	seed	en	False	False	
rap	rap	en	False	False	
seen	seen	en	False	False	
seem	seems	en	False	False	
it’	it’s	en	False	False	
seek	seek	en	False	False	
boogi	boogie	en	False	False	
salvat	salvation	en	False	False	
strength	strength	en	False	False	
realm	realm	en	False	False	
alibi	alibi	en	False	False	
especi	especially	en	False	False	
snow	snow	en	False	False	
chest	chest	en	False	False	
rome	rome	en	False	False	
i´m	i´m	en	False	False	
hum	hum	en	False	False	
rider	rider	en	False	False	
blue	blue	en	False	False	
crippl	crippled	en	False	False	
plenti	plenty	en	False	False	
though	though	en	False	False	
scienc	science	en	False	False	
doin	doin'	en	False	False	
object	object	en	False	False	
mouth	mouth	en	False	False	
addict	addicted	en	False	False	
letter	letter	en	False	False	
jumpin	jumpin'	en	False	False	
phase	phase	en	False	False	
coin	coin	en	False	False	
grave	grave	en	False	False	
glow	glow	en	False	False	
tradit	tradition	en	False	False	
singer	singer	en	False	False	
excus	excuse	en	False	False	
don	don?	en	False	False	
alarm	alarm	en	False	False	
metal	metal	en	False	False	
dog	dog	en	False	False	
freeway	freeway	en	False	False	
declar	declare	en	False	False	
left	left	en	False	False	
scream	scream	en	False	False	
came	came	en	False	False	
job	job	en	False	False	
beaten	beaten	en	False	False	
bomb	bomb	en	False	False	
opposit	opposite	en	False	False	
queen	queen	en	False	False	
pave	paved	en	False	False	
lee	lee	en	False	False	
sanctuari	sanctuary	en	False	False	
radio	radio	en	False	False	
earth	earth	en	False	False	
toast	toast	en	False	False	
politician	politicians	en	False	False	
spite	spite	en	False	False	
explain	explain	en	False	False	
releas	release	en	False	False	
bust	bust	en	False	False	
sugar	sugar	en	False	False	
bush	bush	en	False	False	
busi	business	en	False	False	
bliss	bliss	en	False	False	
deepest	deepest	en	False	False	
rich	rich	en	False	False	
gangsta	gangsta	en	False	False	
waltz	waltz	en	False	False	
nasti	nasty	en	False	False	
watch	watch	en	False	False	
pocket	pocket	en	False	False	
dr	dr.	en	False	False	
bar	bar	en	False	False	
sacrific	sacrifice	en	False	False	
probabl	probably	en	False	False	
twice	twice	en	False	False	
bad	bad	en	False	False	
coke	coke	en	False	False	
steal	steal	en	False	False	
steam	steam	en	False	False	
blew	blew	en	False	False	
vampir	vampire	en	False	False	
liquor	liquor	en	False	False	
light	light	en	False	False	
resist	resist	en	False	False	
goodnight	goodnight	en	False	False	
structur	structure	en	False	False	
respons	responsible	en	False	False	
fail	fail	en	False	False	
hammer	hammer	en	False	False	
best	best	en	False	False	
subject	subject	en	False	False	
awar	aware	en	False	False	
said	said	en	False	False	
onto	onto	en	False	False	
away	away	en	False	False	
sail	sail	en	False	False	
mud	mud	en	False	False	
score	score	en	False	False	
finger	fingers	en	False	False	
awak	awake	en	False	False	
drawn	drawn	en	False	False	
approach	approach	en	False	False	
warrior	warrior	en	False	False	
drivin	drivin'	en	False	False	
weak	weak	en	False	False	
boss	boss	en	False	False	
posit	position	en	False	False	
lazi	lazy	en	False	False	
devour	devour	en	False	False	
wear	wear	en	False	False	
unfold	unfold	en	False	False	
intox	intoxicated	en	False	False	
news	news	en	False	False	
debt	debt	en	False	False	
roller	roller	en	False	False	
weari	weary	en	False	False	
cop	cops	en	False	False	
cow	cow	en	False	False	
fault	fault	en	False	False	
ill	ill	en	False	False	
piti	pity	en	False	False	
lookin	lookin'	en	False	False	
logic	logic	en	False	False	
countri	country	en	False	False	
compromis	compromise	en	False	False	
skill	skills	en	False	False	
assur	assured	en	False	False	
tough	tough	en	False	False	
alleluia	alleluia!	en	False	False	
pose	pose	en	False	False	
height	heights	en	False	False	
creat	create	en	False	False	
lick	lick	en	False	False	
darlin	darlin'	en	False	False	
paradis	paradise	en	False	False	
trumpet	trumpet	en	False	False	
trust	trust	en	False	False	
assum	assume	en	False	False	
speak	speak	en	False	False	
reveng	revenge	en	False	False	
beef	beef	en	False	False	
union	union	en	False	False	
fri	fry	en	False	False	
three	three	en	False	False	
shoulda	shoulda	en	False	False	
beep	beep	en	False	False	
beer	beer	en	False	False	
much	much	en	False	False	
interest	interest	en	False	False	
tini	tiny	en	False	False	
threw	threw	en	False	False	
funer	funeral	en	False	False	
life	life	en	False	False	
deeper	deeper	en	False	False	
spit	spit	en	False	False	
prison	prison	en	False	False	
anywher	anywhere	en	False	False	
lift	lift	en	False	False	
alley	alley	en	False	False	
child	child	en	False	False	
catch	catch	en	False	False	
cunt	cunt	en	False	False	
chill	chill	en	False	False	
ugli	ugly	en	False	False	
save	save	en	False	False	
tank	tank	en	False	False	
servic	service	en	False	False	
gasolin	gasoline	en	False	False	
lullabi	lullaby	en	False	False	
air	air	en	False	False	
aim	aim	en	False	False	
near	near	en	False	False	
neat	neat	en	False	False	
aid	aids	en	False	False	
possess	possess	en	False	False	
vagu	vague	en	False	False	
anchor	anchor	en	False	False	
spawn	spawn	en	False	False	
histori	history	en	False	False	
stink	stink	en	False	False	
dizzi	dizzy	en	False	False	
mexico	mexico	en	False	False	
sting	sting	en	False	False	
shame	shame	en	False	False	
brake	brakes	en	False	False	
disappear	disappear	en	False	False	
grown	grown	en	False	False	
walkin	walkin'	en	False	False	
harmoni	harmony	en	False	False	
credit	credit	en	False	False	
perform	perform	en	False	False	
make	make	en	False	False	
mayb	maybe	en	False	False	
wound	wounds	en	False	False	
complex	complex	en	False	False	
descend	descend	en	False	False	
jungl	jungle	en	False	False	
success	success	en	False	False	
puttin	puttin'	en	False	False	
superman	superman	en	False	False	
wheel	wheel	en	False	False	
fuss	fuss	en	False	False	
evid	evidence	en	False	False	
social	social	en	False	False	
rail	rail	en	False	False	
rain	rain	en	False	False	
hand	hand	en	False	False	
delight	delight	en	False	False	
fuse	fuse	en	False	False	
jealous	jealous	en	False	False	
burnin	burnin'	en	False	False	
tide	tide	en	False	False	
blister	blisters	en	False	False	
tune	tune	en	False	False	
kid	kids	en	False	False	
butter	butter	en	False	False	
groovi	groovy	en	False	False	
kept	kept	en	False	False	
soak	soaked	en	False	False	
bewar	beware	en	False	False	
taint	tainted	en	False	False	
ocean	ocean	en	False	False	
contact	contact	en	False	False	
greatest	greatest	en	False	False	
thi	thy	en	False	False	
mother	mother	en	False	False	
everyth	everything	en	False	False	
rout	route	en	False	False	
bonni	bonnie	en	False	False	
background	background	en	False	False	
givin	givin'	en	False	False	
yea	yea	en	False	False	
photo	photo	en	False	False	
enjoy	enjoy	en	False	False	
forsaken	forsaken	en	False	False	
monkey	monkey	en	False	False	
farther	farther	en	False	False	
human	human	en	False	False	
yes	yes	en	False	False	
sleepi	sleepy	en	False	False	
yet	yet	en	False	False	
languag	language	en	False	False	
ideal	ideal	en	False	False	
sensat	sensation	en	False	False	
shout	shout	en	False	False	
spread	spread	en	False	False	
board	board	en	False	False	
endur	endure	en	False	False	
els	else	en	False	False	
gave	gave	en	False	False	
lake	lake	en	False	False	
vaniti	vanity	en	False	False	
there’	there’s	en	False	False	
yeh	yeh	en	False	False	
birth	birth	en	False	False	
linda	linda	en	False	False	
dreamt	dreamt	en	False	False	
shadow	shadows	en	False	False	
burnt	burnt	en	False	False	
rumor	rumors	en	False	False	
apart	apart	en	False	False	
shoulder	shoulder	en	False	False	
measur	measure	en	False	False	
gift	gift	en	False	False	
hunt	hunt	en	False	False	
negat	negative	en	False	False	
remind	remind	en	False	False	
pavement	pavement	en	False	False	
confid	confidence	en	False	False	
night	night	en	False	False	
hung	hung	en	False	False	
soar	soar	en	False	False	
jean	jeans	en	False	False	
right	right	en	False	False	
old	old	en	False	False	
deal	deal	en	False	False	
fold	fold	en	False	False	
crown	crown	en	False	False	
somehow	somehow	en	False	False	
dead	dead	en	False	False	
revel	revelation	en	False	False	
intern	international	en	False	False	
dear	dear	en	False	False	
bore	bored	en	False	False	
creep	creep	en	False	False	
bottom	bottom	en	False	False	
drove	drove	en	False	False	
ice	ice	en	False	False	
foe	foe	en	False	False	
overcom	overcome	en	False	False	
convict	conviction	en	False	False	
creatur	creature	en	False	False	
leak	leak	en	False	False	
bold	bold	en	False	False	
peel	peel	en	False	False	
insecur	insecure	en	False	False	
buri	bury	en	False	False	
keeper	keeper	en	False	False	
post	post	en	False	False	
super	super	en	False	False	
describ	describe	en	False	False	
silhouett	silhouette	en	False	False	
coast	coast	en	False	False	
cowboy	cowboy	en	False	False	
conceal	conceal	en	False	False	
year	years	en	False	False	
choke	choke	en	False	False	
surround	surround	en	False	False	
dinner	dinner	en	False	False	
despair	despair	en	False	False	
horizon	horizon	en	False	False	
cherish	cherish	en	False	False	
commit	commit	en	False	False	
produc	produced	en	False	False	
telephon	telephone	en	False	False	
sock	sock	en	False	False	
ahh	ahh	en	False	False	
float	floating	en	False	False	
bound	bound	en	False	False	
sow	sow	en	False	False	
wrap	wrapped	en	False	False	
chime	chime	en	False	False	
stall	stall	en	False	False	
mass	mass	en	False	False	
east	east	en	False	False	
crowd	crowd	en	False	False	
frustrat	frustration	en	False	False	
support	support	en	False	False	
transform	transform	en	False	False	
sunlight	sunlight	en	False	False	
happi	happy	en	False	False	
stuck	stuck	en	False	False	
reli	rely	en	False	False	
fought	fought	en	False	False	
way	way	en	False	False	
jane	jane	en	False	False	
call	call	en	False	False	
war	war	en	False	False	
wrote	wrote	en	False	False	
everlast	everlasting	en	False	False	
head	head	en	False	False	
form	form	en	False	False	
offer	offer	en	False	False	
forc	force	en	False	False	
deaf	deaf	en	False	False	
heal	heal	en	False	False	
forg	forged	en	False	False	
fore	'fore	en	False	False	
jive	jive	en	False	False	
heat	heat	en	False	False	
hear	hear	en	False	False	
sparkl	sparkle	en	False	False	
true	true	en	False	False	
fort	fort	en	False	False	
electr	electric	en	False	False	
born	born	en	False	False	
daddi	daddy	en	False	False	
whiskey	whiskey	en	False	False	
absenc	absence	en	False	False	
retir	retire	en	False	False	
lili	lily	en	False	False	
proud	proud	en	False	False	
nobodi	nobody	en	False	False	
unholi	unholy	en	False	False	
sale	sale	en	False	False	
exist	exist	en	False	False	
cocain	cocaine	en	False	False	
glanc	glance	en	False	False	
prayer	prayer	en	False	False	
furi	fury	en	False	False	
desir	desire	en	False	False	
ship	ship	en	False	False	
mold	mold	en	False	False	
trip	trip	en	False	False	
shit	shit	en	False	False	
inde	indeed	en	False	False	
floor	floor	en	False	False	
stake	stake	en	False	False	
actor	actor	en	False	False	
flood	flood	en	False	False	
role	role	en	False	False	
communic	communication	en	False	False	
jone	jones	en	False	False	
tumbl	tumble	en	False	False	
test	test	en	False	False	
tie	tied	en	False	False	
smell	smell	en	False	False	
roll	roll	en	False	False	
realiti	reality	en	False	False	
donât	donât	en	False	False	
felt	felt	en	False	False	
fell	fell	en	False	False	
intent	intentions	en	False	False	
reign	reign	en	False	False	
consid	consider	en	False	False	
balloon	balloon	en	False	False	
billion	billion	en	False	False	
grief	grief	en	False	False	
younger	younger	en	False	False	
receiv	receive	en	False	False	
rabbit	rabbit	en	False	False	
longer	longer	en	False	False	
bullet	bullet	en	False	False	
glass	glass	en	False	False	
salt	salt	en	False	False	
essenc	essence	en	False	False	
jacket	jacket	en	False	False	
rough	rough	en	False	False	
ignor	ignore	en	False	False	
time	time	en	False	False	
push	push	en	False	False	
serious	serious	en	False	False	
backward	backwards	en	False	False	
daili	daily	en	False	False	
gown	gown	en	False	False	
chain	chain	en	False	False	
skip	skip	en	False	False	
rob	rob	en	False	False	
celebr	celebrate	en	False	False	
focus	focus	en	False	False	
invent	invented	en	False	False	
mile	miles	en	False	False	
skin	skin	en	False	False	
chair	chair	en	False	False	
milk	milk	en	False	False	
row	row	en	False	False	
decid	decide	en	False	False	
middl	middle	en	False	False	
zone	zone	en	False	False	
flash	flash	en	False	False	
father	father	en	False	False	
hurtin	hurtin'	en	False	False	
decis	decision	en	False	False	
rhythm	rhythm	en	False	False	
retreat	retreat	en	False	False	
shoot	shoot	en	False	False	
sourc	source	en	False	False	
string	string	en	False	False	
jerk	jerk	en	False	False	
distant	distant	en	False	False	
mourn	mourning	en	False	False	
condit	condition	en	False	False	
cook	cook	en	False	False	
join	join	en	False	False	
blast	blast	en	False	False	
exact	exactly	en	False	False	
rapper	rappers	en	False	False	
cool	cool	en	False	False	
captiv	captive	en	False	False	
hour	hour	en	False	False	
level	level	en	False	False	
tear	tears	en	False	False	
statu	statue	en	False	False	
quick	quick	en	False	False	
tongu	tongue	en	False	False	
guy	guy	en	False	False	
dip	dip	en	False	False	
round	round	en	False	False	
shave	shave	en	False	False	
brave	brave	en	False	False	
regret	regret	en	False	False	
core	core	en	False	False	
trend	trend	en	False	False	
sigh	sigh	en	False	False	
sign	sign	en	False	False	
everytim	everytime	en	False	False	
cost	cost	en	False	False	
worn	worn	en	False	False	
patient	patiently	en	False	False	
helpless	helpless	en	False	False	
bake	bake	en	False	False	
mister	mister	en	False	False	
mall	mall	en	False	False	
melt	melt	en	False	False	
uniform	uniform	en	False	False	
current	current	en	False	False	
ancient	ancient	en	False	False	
indiffer	indifference	en	False	False	
order	order	en	False	False	
corn	corn	en	False	False	
burn	burn	en	False	False	
drinkin	drinkin'	en	False	False	
ridin	ridin'	en	False	False	
french	french	en	False	False	
water	water	en	False	False	
witch	witch	en	False	False	
deceit	deceit	en	False	False	
along	along	en	False	False	
teacher	teacher	en	False	False	
wait	waiting	en	False	False	
box	box	en	False	False	
boy	boy	en	False	False	
insan	insane	en	False	False	
fenc	fence	en	False	False	
shove	shove	en	False	False	
invit	invitation	en	False	False	
bop	bop	en	False	False	
shift	shift	en	False	False	
runnin	runnin'	en	False	False	
screamin	screamin'	en	False	False	
bow	bow	en	False	False	
trial	trial	en	False	False	
patienc	patience	en	False	False	
boo	boo	en	False	False	
dusti	dusty	en	False	False	
colleg	college	en	False	False	
bob	bob	en	False	False	
guilti	guilty	en	False	False	
pillow	pillow	en	False	False	
love	love	en	False	False	
extra	extra	en	False	False	
rattl	rattle	en	False	False	
prefer	prefer	en	False	False	
fake	fake	en	False	False	
fool	fool	en	False	False	
tuesday	tuesday	en	False	False	
peep	peep	en	False	False	
market	market	en	False	False	
bloodi	bloody	en	False	False	
wealth	wealth	en	False	False	
memori	memories	en	False	False	
sake	sake	en	False	False	
saddl	saddle	en	False	False	
univers	universe	en	False	False	
visit	visit	en	False	False	
everybodi	everybody	en	False	False	
live	live	en	False	False	
prey	prey	en	False	False	
everywher	everywhere	en	False	False	
ahhh	ahhh	en	False	False	
tape	tape	en	False	False	
angri	angry	en	False	False	
thru	thru	en	False	False	
today	today	en	False	False	
capit	capital	en	False	False	
riot	riot	en	False	False	
club	club	en	False	False	
peopl	people	en	False	False	
ooo	ooo	en	False	False	
claus	claus	en	False	False	
ooh	ooh	en	False	False	
refrain	refrain	en	False	False	
clue	clue	en	False	False	
downtown	downtown	en	False	False	
drown	drown	en	False	False	
savior	savior	en	False	False	
summertim	summertime	en	False	False	
suffoc	suffocate	en	False	False	
car	car	en	False	False	
prepar	prepared	en	False	False	
pretend	pretend	en	False	False	
judg	judge	en	False	False	
soul	soul	en	False	False	
niggaz	niggaz	en	False	False	
cat	cat	en	False	False	
fli	fly	en	False	False	
dyin	dyin'	en	False	False	
sour	sour	en	False	False	
whatev	whatever	en	False	False	
purpos	purpose	en	False	False	
laughter	laughter	en	False	False	
materi	material	en	False	False	
heart	heart	en	False	False	
favourit	favourite	en	False	False	
stream	stream	en	False	False	
chip	chips	en	False	False	
fuck	fuck	en	False	False	
heard	heard	en	False	False	
stroke	stroke	en	False	False	
chin	chin	en	False	False	
phrase	phrase	en	False	False	
chemic	chemical	en	False	False	
feelin	feelin'	en	False	False	
juli	july	en	False	False	
stole	stole	en	False	False	
pink	pink	en	False	False	
winter	winter	en	False	False	
lifeless	lifeless	en	False	False	
foul	foul	en	False	False	
hippi	hippie	en	False	False	
write	write	en	False	False	
alway	always	en	False	False	
sunday	sunday	en	False	False	
anyon	anyone	en	False	False	
actual	actually	en	False	False	
pure	pure	en	False	False	
swore	swore	en	False	False	
afternoon	afternoon	en	False	False	
map	map	en	False	False	
may	may	en	False	False	
dive	dive	en	False	False	
fed	fed	en	False	False	
spot	spot	en	False	False	
louder	louder	en	False	False	
pattern	patterns	en	False	False	
mad	mad	en	False	False	
suck	suck	en	False	False	
grow	grow	en	False	False	
man	man	en	False	False	
stress	stress	en	False	False	
neck	neck	en	False	False	
liquid	liquid	en	False	False	
conscious	conscious	en	False	False	
confus	confused	en	False	False	
goal	goal	en	False	False	
secur	security	en	False	False	
favorit	favorite	en	False	False	
st	st.	en	False	False	
inform	information	en	False	False	
switch	switch	en	False	False	
etc	etc.	en	False	False	
jail	jail	en	False	False	
unleash	unleash	en	False	False	
tall	tall	en	False	False	
ordinari	ordinary	en	False	False	
talk	talk	en	False	False	
drunken	drunken	en	False	False	
cute	cute	en	False	False	
shield	shield	en	False	False	
anticip	anticipating	en	False	False	
footstep	footsteps	en	False	False	
midnight	midnight	en	False	False	
agoni	agony	en	False	False	
brain	brain	en	False	False	
yearn	yearning	en	False	False	
lyric	lyrics	en	False	False	
cold	cold	en	False	False	
still	still	en	False	False	
skeleton	skeleton	en	False	False	
worship	worship	en	False	False	
group	group	en	False	False	
thumb	thumb	en	False	False	
willow	willow	en	False	False	
torn	torn	en	False	False	
shakin	shakin'	en	False	False	
lyin	lyin'	en	False	False	
civil	civil	en	False	False	
window	window	en	False	False	
whole	whole	en	False	False	
mail	mail	en	False	False	
main	main	en	False	False	
bounc	bounce	en	False	False	
insect	insects	en	False	False	
recal	recall	en	False	False	
smash	smash	en	False	False	
shatter	shattered	en	False	False	
sooner	sooner	en	False	False	
underneath	underneath	en	False	False	
lunch	lunch	en	False	False	
loneli	loneliness	en	False	False	
conquer	conquer	en	False	False	
tax	tax	en	False	False	
disappoint	disappointed	en	False	False	
twilight	twilight	en	False	False	
hall	hall	en	False	False	
wont	wont	en	False	False	
term	terms	en	False	False	
name	name	en	False	False	
servant	servant	en	False	False	
mellow	mellow	en	False	False	
frank	frank	en	False	False	
drop	drop	en	False	False	
flown	flown	en	False	False	
separ	separate	en	False	False	
magazin	magazine	en	False	False	
savag	savage	en	False	False	
careless	careless	en	False	False	
rock	rock	en	False	False	
nois	noise	en	False	False	
collaps	collapse	en	False	False	
replac	replace	en	False	False	
torch	torch	en	False	False	
yeah	yeah	en	False	False	
bodi	body	en	False	False	
begun	begun	en	False	False	
girl	girl	en	False	False	
summon	summon	en	False	False	
mommi	mommy	en	False	False	
album	album	en	False	False	
shown	shown	en	False	False	
ambit	ambition	en	False	False	
jackson	jackson	en	False	False	
stitch	stitch	en	False	False	
space	space	en	False	False	
profit	profit	en	False	False	
astray	astray	en	False	False	
flesh	flesh	en	False	False	
johnni	johnny	en	False	False	
uncl	uncle	en	False	False	
bless	blessed	en	False	False	
correct	correct	en	False	False	
romanc	romance	en	False	False	
screw	screw	en	False	False	
diseas	disease	en	False	False	
