stem	word_m	lang_GT_API	stopword
também	também	pt	True
solament	solamente	es	False
tempt	tempted	en	False
seven	seven	en	False
strap	strapped	en	False
brought	brought	en	False
qui	qui	fr	True
attitud	attitude	en	False
toujour	toujours	fr	False
moral	moral	en	False
hollow	hollow	en	False
outra	outra	pt	False
stern	stern	en	False
hablar	hablar	es	False
total	total	en	False
unit	united	en	False
plot	plot	en	False
symphoni	symphony	en	False
spoke	spoke	en	False
would	would	en	False
nine	nine	en	False
niin	niin	fi	True
princess	princess	en	False
bike	bike	en	False
music	music	en	False
calm	calm	en	False
armi	army	en	False
strike	strike	en	False
torment	torment	en	False
tryin	tryin'	en	False
type	type	en	False
tell	tell	en	False
willst	willst	de	False
griev	grieve	en	False
saber	saber	pt	False
relax	relax	en	False
relat	relate	en	False
notic	notice	en	False
hurt	hurt	en	False
warn	warning	en	False
phone	phone	en	False
berlin	berlin	de	False
warm	warm	en	False
pecho	pecho	es	False
holi	holy	en	False
aux	aux	fr	True
muss	muss	de	True
moin	moins	fr	False
hole	hole	en	False
pouco	pouco	pt	False
dot	dot	en	False
must	must	en	False
me	me		
accid	accident	en	False
für	für	de	True
ma	ma		
room	room	en	False
mc	mc		
flore	flores	es	False
mm	mm		
mo	mo		
work	work	en	False
mi	mi		
cant	cant	en	False
roof	roof	en	False
hizo	hizo	es	False
ere	eres	es	True
wors	worse	en	False
wort	worte	de	False
era	era	es	True
sweeter	sweeter	en	False
mr	mr.	en	False
olen	olen	fi	True
im	im		
libertad	libertad	es	False
my	my		
it´	it´s	en	False
gloria	gloria	es	False
jamai	jamais	fr	False
empieza	empieza	es	False
io	io		
serpent	serpent	en	False
give	give	en	False
vos	vos	fr	True
honey	honey	en	False
mornin	mornin'	en	False
wirklich	wirklich	de	False
want	want	en	False
aaah	aaah	id	False
nient	niente	it	False
attract	attraction	en	False
cielo	cielo	es	False
end	end	en	False
solitud	solitude	en	False
thing	things	en	False
polic	police	en	False
hoo	hoo	ar	False
travel	travel	en	False
prendr	prendre	fr	False
ogni	ogni	it	False
how	how	en	True
hot	hot	en	False
confin	confined	en	False
hop	hop	en	False
rewind	rewind	en	False
answer	answer	en	False
gate	gates	en	False
quoi	quoi	fr	False
beach	beach	en	False
quon	qu'on	fr	False
hoy	hoy	es	False
cariño	cariño	es	False
fever	fever	en	False
recogn	recognize	en	False
lai	lai	lv	
mess	mess	en	False
cadillac	cadillac	en	False
ladder	ladder	en	False
after	after	en	True
vicious	vicious	en	False
être	être	fr	False
befor	before	en	True
wrong	wrong	en	False
lay	lay	en	False
beauti	beautiful	en	False
weißt	weißt	de	False
law	law	en	False
lap	lap	en	False
adio	adios	es	False
sentir	sentir	pt	False
domin	domination	en	False
third	third	en	False
acaba	acaba	es	False
sitä	sitä	fi	True
greet	greet	en	False
imposs	impossible	en	False
hasta	hasta	es	True
wink	wink	en	False
green	green	en	False
enter	enter	en	False
plagu	plague	en	False
worst	worst	en	False
wing	wings	en	False
wind	wind	en	False
wine	wine	en	False
origin	original	en	False
peux	peux	fr	False
carnav	carnaval	pt	False
madrugada	madrugada	es	False
deck	deck	en	False
peur	peur	fr	False
crumbl	crumble	en	False
over	over	en	True
failur	failure	en	False
orang	orange	en	False
becaus	because	en	True
peut	peut	fr	False
surrend	surrender	en	False
finest	finest	en	False
london	london	en	False
atrá	atrás	pt	False
mañana	mañana	es	False
vita	vita	it	False
hook	hook	en	False
tennesse	tennessee	en	False
vite	vite	fr	False
dreamer	dreamer	en	False
ima	i'ma	pl	
meno	menos	es	False
gentl	gentle	en	False
vento	vento	it	False
fit	fit	en	False
canto	canto	it	False
despierta	despierta	es	False
fix	fix	en	False
baila	baila	es	False
crew	crew	en	False
better	better	en	False
spoken	spoken	en	False
offic	office	en	False
días	días	es	False
fade	fade	en	False
creo	creo	es	False
hidden	hidden	en	False
fin	fin	fr	False
easier	easier	en	False
fil	fils	fr	False
split	split	en	False
then	then	en	True
them	them	en	True
anim	animal	en	False
trippin	trippin'	en	False
était	était	fr	True
thee	thee	en	False
safe	safe	en	False
deinem	deinem	de	True
disturb	disturb	en	False
deinen	deinen	de	True
break	break	en	False
band	band	en	False
bang	bang	en	False
deiner	deiner	de	True
promis	promise	en	False
they	they	en	True
teu	teu	ca	
battl	battle	en	False
one	one	en	False
silver	silver	en	False
bank	bank	en	False
bread	bread	en	False
wenn	wenn	de	True
choic	choice	en	False
victori	victory	en	False
viver	viver	pt	False
chico	chico	es	False
sleepless	sleepless	en	False
l	l		
choir	choir	en	False
luce	luce	it	False
holdin	holdin'	en	False
rocki	rocky	en	False
arrow	arrow	en	False
each	each	en	True
puppet	puppet	en	False
went	went	en	False
enamorado	enamorado	es	False
side	side	en	False
bone	bones	en	False
mean	mean	en	False
turnin	turnin'	sq	
allah	allah	ms	
overflow	overflow	en	False
spider	spider	en	False
tip	tip	en	False
taught	taught	en	False
forgot	forgot	en	False
dawn	dawn	en	False
despis	despise	en	False
saturday	saturday	en	False
whip	whip	en	False
fragil	fragile	en	False
depress	depression	en	False
gon	gon'	en	False
velvet	velvet	en	False
goe	goes	en	False
god	god	en	False
nunca	nunca	es	False
muero	muero	es	False
algún	algún	es	False
matar	matar	pt	False
content	content	en	False
re	re		
laid	laid	en	False
branch	branches	en	False
ra	ra		
mondo	mondo	it	False
got	got	en	False
forth	forth	en	False
swell	swell	en	False
smart	smart	en	False
frei	frei	de	False
written	written	en	False
hang	hang	en	False
nightmar	nightmare	en	False
situat	situation	en	False
infin	infinity	en	False
free	free	en	False
bailar	bailar	es	False
redempt	redemption	en	False
spill	spill	no	False
boulevard	boulevard	en	False
evil	evil	en	False
entrar	entrar	pt	False
nie	nie	pl	
silent	silent	en	False
dancin	dancin'	en	False
ate	ate	en	False
sunshin	sunshine	en	False
puzzl	puzzle	en	False
ritual	ritual	en	False
cosmic	cosmic	en	False
ist	ist	de	True
att	att	sv	True
rais	raise	en	False
hopeless	hopeless	en	False
can’t	can’t	en	False
loud	loud	en	False
bite	bite	en	False
fuckin	fuckin'	en	False
fantasi	fantasy	en	False
rang	range	en	False
slept	slept	en	False
einer	einer	de	True
tellement	tellement	fr	False
jamaica	jamaica	en	False
fácil	fácil	es	False
trembl	tremble	en	False
independ	independent	en	False
wast	waste	en	False
lágrima	lágrimas	es	False
system	system	en	False
wash	wash	en	False
alreadi	already	en	False
comin	comin'	en	False
einen	einen	de	True
thick	thick	en	False
agre	agree	en	False
hood	hood	en	False
pasa	pasa	es	False
endlich	endlich	de	False
é	é		
è	è		
bonita	bonita	pt	False
inch	inch	en	False
top	top	en	False
à	à		
ingen	ingen	sv	True
sometim	sometimes	en	False
å	å		
fiction	fiction	en	False
tabl	table	en	False
toi	toi	fr	True
ton	ton	fr	True
too	too	en	True
tom	tom	en	False
rockin	rockin'	en	False
dwell	dwell	en	False
hollywood	hollywood	en	False
john	john	en	False
bitter	bitter	en	False
tod	tod	de	False
listen	listen	en	False
hacer	hacer	es	False
murder	murder	en	False
consol	consolation	en	False
segundo	segundo	pt	False
tool	tool	en	False
took	took	en	False
wisdom	wisdom	en	False
digo	digo	es	False
western	western	en	False
crawl	crawl	en	False
diga	digas	es	False
pluie	pluie	fr	False
cri	cry	en	False
preacher	preacher	en	False
bitt	bitte	de	False
silli	silly	en	False
target	target	en	False
thirsti	thirsty	en	False
provid	provide	en	False
coward	coward	en	False
tra	tra	it	True
tree	tree	en	False
hors	horse	en	False
shower	shower	en	False
matter	matter	en	False
entr	entre	es	True
flame	flame	en	False
ancora	ancora	it	False
k	k		
minut	minute	en	False
rag	rag	en	False
fashion	fashion	en	False
esta	esta	es	True
estc	est-ce	fr	False
ran	ran	en	False
mina	mina	sv	True
esto	esto	es	True
mind	mind	en	False
mine	mine	en	False
drip	drip	en	False
sourir	sourire	fr	False
raw	raw	en	False
rat	rat	en	False
seed	seed	en	False
rap	rap	en	False
seen	seen	en	False
seem	seems	en	False
it’	it’s	en	False
seek	seek	en	False
boogi	boogie	en	False
salvat	salvation	en	False
strength	strength	en	False
realm	realm	en	False
alibi	alibi	en	False
damour	d'amour	fr	False
especi	especially	en	False
snow	snow	en	False
bleib	bleib	de	False
chest	chest	en	False
rome	rome	en	False
i´m	i´m	en	False
hum	hum	en	False
rider	rider	en	False
blue	blue	en	False
crippl	crippled	en	False
despertar	despertar	es	False
nuit	nuit	fr	False
razon	razon	es	False
plenti	plenty	en	False
though	though	en	False
scienc	science	en	False
doin	doin'	en	False
object	object	en	False
sue	sue	it	True
ahí	ahí	es	False
sinto	sinto	pt	False
mouth	mouth	en	False
addict	addicted	en	False
letter	letter	en	False
jumpin	jumpin'	en	False
phase	phase	en	False
coin	coin	en	False
the	the	en	True
grave	grave	en	False
glow	glow	en	False
tradit	tradition	en	False
singer	singer	en	False
excus	excuse	en	False
don	don?	en	False
doo	doo	sl	
dom	dom	sv	False
flor	flor	pt	False
alarm	alarm	en	False
nei	nei	it	True
metal	metal	en	False
dog	dog	en	False
doe	does	en	True
freeway	freeway	en	False
suo	suo	it	True
declar	declare	en	False
dor	dor	pt	False
dos	dos	pt	True
cama	cama	es	False
left	left	en	False
scream	scream	en	False
came	came	en	False
job	job	en	False
beaten	beaten	en	False
bomb	bomb	en	False
hur	hur	sv	True
cherch	cherche	fr	False
opposit	opposite	en	False
queen	queen	en	False
pave	paved	en	False
lee	lee	en	False
sanctuari	sanctuary	en	False
radio	radio	en	False
earth	earth	en	False
bail	baile	ga	
sagt	sagt	de	False
toast	toast	en	False
och	och	sv	True
wirst	wirst	de	True
politician	politicians	en	False
quieren	quieren	es	False
just	just	en	True
spite	spite	en	False
blut	blut	de	False
ment	mente	es	False
explain	explain	en	False
releas	release	en	False
bust	bust	en	False
sugar	sugar	en	False
bush	bush	en	False
busi	business	en	False
bliss	bliss	en	False
deepest	deepest	en	False
rich	rich	en	False
mend	mend	sq	
gangsta	gangsta	en	False
do	do		
waltz	waltz	en	False
dj	dj		
klein	kleine	de	False
di	di		
nasti	nasty	en	False
de	de		
watch	watch	en	False
13	13		
da	da		
pocket	pocket	en	False
geen	geen	nl	True
doigt	doigts	fr	False
du	du		
dr	dr.	en	False
bat	bat	eu	
bar	bar	en	False
bas	bas	fr	False
busco	busco	es	False
ner	ner	sv	False
sacrific	sacrifice	en	False
probabl	probably	en	False
brazo	brazos	es	False
disco	disco	es	False
twice	twice	en	False
bad	bad	en	False
coke	coke	en	False
olhar	olhar	pt	False
sentido	sentido	es	True
steal	steal	en	False
steam	steam	en	False
bah	bah	fr	False
fait	fait	fr	False
blew	blew	en	False
vampir	vampire	en	False
beso	besos	es	False
fair	faire	fr	False
cerca	cerca	it	False
guerra	guerra	es	False
liquor	liquor	en	False
nur	nur	de	True
parol	parole	it	False
light	light	en	False
resist	resist	en	False
bled	bled	sl	
goodnight	goodnight	en	False
num	num	pt	True
structur	structure	en	False
nuh	nuh	id	False
respons	responsible	en	False
fail	fail	en	False
cambiar	cambiar	es	False
foss	fosse	it	True
hammer	hammer	en	False
best	best	en	False
subject	subject	en	False
awar	aware	en	False
said	said	en	False
onto	onto	en	False
bij	bij	nl	True
away	away	en	False
sail	sail	en	False
muy	muy	es	True
insiem	insieme	it	False
mud	mud	en	False
bien	bien	fr	False
score	score	en	False
cómo	cómo	es	False
finger	fingers	en	False
awak	awake	en	False
drawn	drawn	en	False
mun	mun	ar	False
approach	approach	en	False
alguien	alguien	es	False
debo	debo	es	False
warrior	warrior	en	False
we	we		
men	men	sv	True
drivin	drivin'	en	False
wa	wa		
wo	won't	en	True
debe	debes	es	False
sera	sera	fr	True
weak	weak	en	False
boss	boss	en	False
posit	position	en	False
lazi	lazy	en	False
devour	devour	en	False
wear	wear	en	False
unfold	unfold	en	False
intox	intoxicated	en	False
news	news	en	False
debt	debt	en	False
roller	roller	en	False
weari	weary	en	False
bras	bras	fr	False
cop	cops	en	False
cos	'cos	pl	
cor	cor	pt	False
ell	elle	fr	True
cow	cow	en	False
herz	herz	de	False
fault	fault	en	False
ill	ill	en	False
questo	questo	it	True
ahora	ahora	es	False
against	against	en	True
kommen	kommen	de	False
piti	pity	en	False
una	una	es	True
kommer	kommer	sv	False
und	und	de	True
une	une	fr	True
lookin	lookin'	en	False
logic	logic	en	False
countri	country	en	False
com	com	pt	True
col	col	it	True
con	con	es	True
compromis	compromise	en	False
skill	skills	en	False
assur	assured	en	False
tough	tough	en	False
alleluia	alleluia!	en	False
pose	pose	en	False
demain	demain	fr	False
vain	vain	fi	False
jugar	jugar	es	False
height	heights	en	False
femm	femme	fr	False
creat	create	en	False
lick	lick	en	False
felicidad	felicidad	es	False
darlin	darlin'	en	False
paradis	paradise	en	False
trumpet	trumpet	en	False
trust	trust	en	False
assum	assume	en	False
aquella	aquella	es	False
speak	speak	en	False
hijo	hijos	es	False
fra	fra	da	True
reveng	revenge	en	False
sam	sam	bs	
beef	beef	en	False
hay	hay	es	True
union	union	en	False
fri	fry	en	False
sal	sal	af	
three	three	en	False
been	been	en	True
shoulda	shoulda	en	False
beep	beep	en	False
beer	beer	en	False
much	much	en	False
entonc	entonces	es	False
interest	interest	en	False
pro	pro	cs	
tini	tiny	en	False
threw	threw	en	False
funer	funeral	en	False
life	life	en	False
ano	ano	pt	False
deeper	deeper	en	False
spit	spit	en	False
café	café	pt	False
pueden	pueden	es	False
alegr	alegre	pt	False
prison	prison	en	False
anywher	anywhere	en	False
fest	fest	de	False
lift	lift	en	False
alley	alley	en	False
child	child	en	False
catch	catch	en	False
erst	erst	de	False
suav	suave	es	False
cunt	cunt	en	False
chill	chill	en	False
ugli	ugly	en	False
save	save	en	False
tank	tank	en	False
servic	service	en	False
gasolin	gasoline	en	False
lullabi	lullaby	en	False
air	air	en	False
aim	aim	en	False
encontrar	encontrar	es	False
near	near	en	False
ain	ain?	ar	False
neat	neat	en	False
aid	aids	en	False
possess	possess	en	False
vagu	vague	en	False
anchor	anchor	en	False
della	della	it	True
spawn	spawn	en	False
histori	history	en	False
stink	stink	en	False
dizzi	dizzy	en	False
mexico	mexico	en	False
is	is		
ir	ir		
it	it		
sting	sting	en	False
ii	ii		
shame	shame	en	False
ik	ik		
brake	brakes	en	False
il	il		
jest	jest	pl	
in	in		
amour	amour	fr	False
id	id		
disappear	disappear	en	False
if	if		
grown	grown	en	False
walkin	walkin'	en	False
bello	bello	it	False
quand	quand	fr	False
harmoni	harmony	en	False
credit	credit	en	False
perform	perform	en	False
make	make	en	False
mayb	maybe	en	False
wound	wounds	en	False
bella	bella	it	False
busca	busca	es	False
complex	complex	en	False
descend	descend	en	False
jungl	jungle	en	False
success	success	en	False
puttin	puttin'	en	False
superman	superman	en	False
jama	jamas	es	False
wheel	wheel	en	False
ello	ellos	es	True
fuss	fuss	en	False
evid	evidence	en	False
buscando	buscando	es	False
ingent	ingenting	sv	False
ella	ella	es	True
social	social	en	False
rail	rail	en	False
rain	rain	en	False
hand	hand	en	False
delight	delight	en	False
fuse	fuse	en	False
vieux	vieux	fr	False
jealous	jealous	en	False
burnin	burnin'	en	False
tide	tide	en	False
blister	blisters	en	False
tune	tune	en	False
kid	kids	en	False
butter	butter	en	False
groovi	groovy	en	False
dado	dado	es	False
kept	kept	en	False
soak	soaked	en	False
bewar	beware	en	False
placer	placer	es	False
itself	itself	en	True
taint	tainted	en	False
deixa	deixa	pt	False
ocean	ocean	en	False
contact	contact	en	False
mamma	mamma	sv	False
greatest	greatest	en	False
thi	thy	en	False
mother	mother	en	False
everyth	everything	en	False
hacen	hacen	es	False
rout	route	en	False
tha	tha	el	
bonni	bonnie	en	False
letra	letra	es	False
background	background	en	False
givin	givin'	en	False
yea	yea	en	False
photo	photo	en	False
enjoy	enjoy	en	False
forsaken	forsaken	en	False
tão	tão	pt	False
monkey	monkey	en	False
kalt	kalt	de	False
farther	farther	en	False
human	human	en	False
yes	yes	en	False
yer	yer	tr	False
sleepi	sleepy	en	False
yet	yet	en	False
languag	language	en	False
sí	sí		
hai	hai	hi	
sé	sé		
han	han	es	True
så	så		
sä	sä		
hab	hab	de	True
ela	ela	pt	True
had	had	en	True
ideal	ideal	en	False
voglio	voglio	it	False
ele	ele	pt	True
sensat	sensation	en	False
ooooh	ooooh	nl	False
shout	shout	en	False
spread	spread	en	False
board	board	en	False
endur	endure	en	False
els	else	en	False
har	har	sv	True
has	has	en	True
hat	hat	de	True
wissen	wissen	de	False
só	só		
gave	gave	en	False
egal	egal	de	False
lake	lake	en	False
unter	unter	de	True
assim	assim	pt	False
escuchar	escuchar	es	False
seel	seele	de	False
vaniti	vanity	en	False
there’	there’s	en	False
yeh	yeh	en	False
birth	birth	en	False
linda	linda	en	False
dreamt	dreamt	en	False
shadow	shadows	en	False
burnt	burnt	en	False
rumor	rumors	en	False
apart	apart	en	False
shoulder	shoulder	en	False
measur	measure	en	False
gift	gift	en	False
hunt	hunt	en	False
negat	negative	en	False
50	50		
deus	deus	pt	False
remind	remind	en	False
pavement	pavement	en	False
pasion	pasion	es	False
confid	confidence	en	False
night	night	en	False
hung	hung	en	False
amor	amor	pt	False
soar	soar	en	False
jean	jeans	en	False
right	right	en	False
old	old	en	False
ole	ole	fi	True
deal	deal	en	False
oli	oli	fi	True
fold	fold	en	False
crown	crown	en	False
somehow	somehow	en	False
dead	dead	en	False
tenemo	tenemos	es	True
revel	revelation	en	False
intern	international	en	False
dear	dear	en	False
bore	bored	en	False
bord	bord	fr	False
creer	creer	es	False
creep	creep	en	False
decirt	decirte	es	False
ici	ici	fr	False
ich	ich	de	True
for	for	en	True
bottom	bottom	en	False
drove	drove	en	False
ice	ice	en	False
foe	foe	en	False
fog	fog	hu	False
uma	uma	pt	True
overcom	overcome	en	False
convict	conviction	en	False
strada	strada	it	False
creatur	creature	en	False
leak	leak	en	False
vielleicht	vielleicht	de	False
bold	bold	en	False
peel	peel	en	False
suelo	suelo	es	False
quedo	quedo	es	False
insecur	insecure	en	False
coro	coro	it	False
buri	bury	en	False
corp	corps	fr	False
pensando	pensando	es	False
corr	corre	es	False
keeper	keeper	en	False
post	post	en	False
â	Â		
super	super	en	False
describ	describe	en	False
zur	zur	de	True
silhouett	silhouette	en	False
difícil	difícil	es	False
coast	coast	en	False
cowboy	cowboy	en	False
conceal	conceal	en	False
year	years	en	False
choke	choke	en	False
surround	surround	en	False
dinner	dinner	en	False
despair	despair	en	False
plus	plus	fr	False
algo	algo	es	True
horizon	horizon	en	False
cherish	cherish	en	False
mismo	mismo	es	False
commit	commit	en	False
esperar	esperar	es	False
coraz	coraz?	pl	
produc	produced	en	False
zum	zum	de	True
lieb	liebe	de	False
telephon	telephone	en	False
aber	aber	de	True
cuor	cuore	it	False
soi	sois	fr	True
sock	sock	en	False
ahh	ahh	en	False
float	floating	en	False
som	som	sv	True
bound	bound	en	False
son	son	fr	True
down	down	en	True
loin	loin	fr	False
sou	sou	el	
sow	sow	en	False
vuelv	vuelve	es	False
wrap	wrapped	en	False
chime	chime	en	False
encor	encore	fr	False
stall	stall	en	False
mass	mass	en	False
glaub	glaub	de	False
east	east	en	False
veneno	veneno	es	False
crowd	crowd	en	False
wah	wah	id	True
avait	avait	fr	True
frustrat	frustration	en	False
support	support	en	False
transform	transform	en	False
sunlight	sunlight	en	False
happi	happy	en	False
stuck	stuck	en	False
reli	rely	en	False
fought	fought	en	False
gib	gib	de	False
way	way	en	False
wax	wax	ku	
jane	jane	en	False
call	call	en	False
wat	wat	nl	True
was	was	en	True
war	war	en	False
wrote	wrote	en	False
everlast	everlasting	en	False
head	head	en	False
form	form	en	False
offer	offer	en	False
forc	force	en	False
deaf	deaf	en	False
heal	heal	en	False
daß	daß	de	True
forg	forged	en	False
aqui	aqui	pt	False
fore	'fore	en	False
jive	jive	en	False
heat	heat	en	False
seguir	seguir	es	False
hear	hear	en	False
sparkl	sparkle	en	False
fors	forse	it	False
mirada	mirada	es	False
true	true	en	False
fort	fort	en	False
viva	viva	pt	False
electr	electric	en	False
duel	duele	es	False
vive	vive	es	False
born	born	en	False
vorrei	vorrei	it	False
layin	layin'	ha	
daddi	daddy	en	False
vivo	vivo	pt	False
until	until	en	True
whiskey	whiskey	en	False
vivr	vivre	fr	False
absenc	absence	en	False
freund	freunde	de	False
trist	triste	es	False
retir	retire	en	False
lili	lily	en	False
labio	labios	es	False
pude	pude	es	False
proud	proud	en	False
weit	weit	de	False
lleva	lleva	es	False
petit	petit	fr	False
nobodi	nobody	en	False
unholi	unholy	en	False
sale	sale	en	False
salir	salir	es	False
miro	miro	es	False
exist	exist	en	False
cocain	cocaine	en	False
glanc	glance	en	False
prayer	prayer	en	False
furi	fury	en	False
desir	desire	en	False
ship	ship	en	False
20	20		
mold	mold	en	False
trip	trip	en	False
shit	shit	en	False
inde	indeed	en	False
gracia	gracias	es	False
leer	leer	es	False
depoi	depois	pt	True
floor	floor	en	False
na	na		
stake	stake	en	False
when	when	en	True
ne	ne		
actor	actor	en	False
til	'til	da	False
flood	flood	en	False
tin	tin	vi	
role	role	en	False
communic	communication	en	False
jone	jones	en	False
tumbl	tumble	en	False
test	test	en	False
tie	tied	en	False
hangin	hangin'	tl	
smell	smell	en	False
roll	roll	en	False
realiti	reality	en	False
tame	tame	ja	
donât	donât	en	False
fou	fou	ca	
dies	diese	de	True
felt	felt	en	False
dieu	dieu	fr	False
fell	fell	en	False
intent	intentions	en	False
reign	reign	en	False
consid	consider	en	False
mirando	mirando	es	False
siento	siento	es	False
balloon	balloon	en	False
billion	billion	en	False
grief	grief	en	False
younger	younger	en	False
receiv	receive	en	False
rabbit	rabbit	en	False
longer	longer	en	False
bullet	bullet	en	False
glass	glass	en	False
salt	salt	en	False
essenc	essence	en	False
licht	licht	nl	False
jacket	jacket	en	False
rough	rough	en	False
ignor	ignore	en	False
time	time	en	False
push	push	en	False
serious	serious	en	False
backward	backwards	en	False
daili	daily	en	False
gown	gown	en	False
sentimiento	sentimiento	es	False
chain	chain	en	False
caricia	caricias	es	False
skip	skip	en	False
rob	rob	en	False
celebr	celebrate	en	False
focus	focus	en	False
invent	invented	en	False
mile	miles	en	False
selbst	selbst	de	True
skin	skin	en	False
amar	amar	bn	
chair	chair	en	False
rot	rot	de	False
milk	milk	en	False
row	row	en	False
macht	macht	de	False
decid	decide	en	False
middl	middle	en	False
ver	ver	es	False
ves	ves	sk	
zone	zone	en	False
muito	muito	pt	True
flash	flash	en	False
father	father	en	False
puoi	puoi	it	False
dá	dá		
hurtin	hurtin'	en	False
decir	decir	es	False
decis	decision	en	False
rhythm	rhythm	en	False
ven	ven	da	False
veo	veo	es	False
vem	vem	pt	False
retreat	retreat	en	False
preciso	preciso	pt	False
shoot	shoot	en	False
sourc	source	en	False
string	string	en	False
jerk	jerk	en	False
olvidar	olvidar	es	False
nooit	nooit	nl	False
guarda	guarda	it	False
distant	distant	en	False
mourn	mourning	en	False
escucha	escucha	es	False
condit	condition	en	False
cook	cook	en	False
join	join	en	False
blast	blast	en	False
exact	exactly	en	False
rapper	rappers	en	False
cool	cool	en	False
dim	dim	cy	
din	din	ro	True
dio	dios	es	False
captiv	captive	en	False
hour	hour	en	False
knockin	knockin'	nl	False
level	level	en	False
tear	tears	en	False
die	die	de	True
dig	dig	sv	True
dia	dia	pt	False
foi	fois	fr	False
p	p		
statu	statue	en	False
querer	querer	pt	False
larm	larmes	fr	False
diz	diz	pt	False
gut	gut	de	False
quick	quick	en	False
tongu	tongue	en	False
guy	guy	en	False
dip	dip	en	False
round	round	en	False
dir	dir	de	True
dis	dis	fr	False
shave	shave	en	False
cose	cose	it	False
brave	brave	en	False
regret	regret	en	False
cosa	cosa	it	False
core	core	en	False
trend	trend	en	False
sigh	sigh	en	False
boca	boca	es	False
sigo	sigo	es	False
sign	sign	en	False
everytim	everytime	en	False
cost	cost	en	False
sigu	sigue	es	False
worn	worn	en	False
hace	hace	es	False
patient	patiently	en	False
helpless	helpless	en	False
bake	bake	en	False
port	porte	fr	False
corazon	corazon	es	False
malo	malo	bs	
vengo	vengo	es	False
mister	mister	en	False
queda	queda	es	False
mall	mall	en	False
melt	melt	en	False
uniform	uniform	en	False
current	current	en	False
stadt	stadt	de	False
ancient	ancient	en	False
nella	nella	it	True
indiffer	indifference	en	False
order	order	en	False
corn	corn	en	False
burn	burn	en	False
hart	hart	nl	False
frío	frío	es	False
drinkin	drinkin'	en	False
nen	n'en	sv	False
ridin	ridin'	en	False
french	french	en	False
bi	bi		
water	water	en	False
juro	juro	pt	False
melhor	melhor	pt	False
witch	witch	en	False
deceit	deceit	en	False
along	along	en	False
teacher	teacher	en	False
wait	waiting	en	False
box	box	en	False
boy	boy	en	False
