stem,word_m,lang_GT_API,stopword,remove?,remove_class,pos
origin,original,en,False,False,,adj.
deck,deck,en,False,False,,n.
crumbl,crumble,en,False,False,,adj.
over,over,en,True,True,nltk_sw,
failur,failure,en,False,False,,n.
orang,orange,en,False,False,,n.
becaus,because,en,True,True,nltk_sw,
surrend,surrender,en,False,False,,n.
finest,finest,en,False,False,,n.
london,london,en,False,False,,n.
hook,hook,en,False,False,,n.
tennesse,tennessee,en,False,False,,n.
dreamer,dreamer,en,False,False,,n.
gentl,gentle,en,False,False,,adj.
fit,fit,en,False,False,,adj.
fix,fix,en,False,False,,n.
crew,crew,en,False,False,,n.
better,better,en,False,False,,adv.
spoken,spoken,en,False,False,,n.
offic,office,en,False,False,,n.
fade,fade,en,False,False,,n.
hidden,hidden,en,False,False,,v.
easier,easier,en,False,False,,adj.
split,split,en,False,False,,v.
then,then,en,True,True,nltk_sw,adv.
them,them,en,True,True,nltk_sw,
anim,animal,en,False,False,,n.
trippin,tripping,en,False,False,,n.
thee,thee,en,False,False,,n.
safe,safe,en,False,False,,adj.
disturb,disturb,en,False,False,,n.
break,break,en,False,False,,n.
band,band,en,False,False,,n.
bang,bang,en,False,False,,n.
promis,promise,en,False,False,,n.
they,they,en,True,True,nltk_sw,
battl,battle,en,False,False,,n.
one,one,en,False,False,,n.
silver,silver,en,False,False,,n.
bank,bank,en,False,False,,n.
bread,bread,en,False,False,,n.
choic,choice,en,False,False,,n.
victori,victory,en,False,False,,n.
sleepless,sleepless,en,False,False,,n.
choir,choir,en,False,False,,n.
holdin,holding,en,False,False,,v.
rocki,rocky,en,False,False,,n.
arrow,arrow,en,False,False,,n.
each,each,en,True,True,nltk_sw,
puppet,puppet,en,False,False,,n.
went,went,en,False,False,,v.
side,side,en,False,False,,n.
bone,bones,en,False,False,,n.
mean,mean,en,False,False,,v.
overflow,overflow,en,False,False,,n.
spider,spider,en,False,False,,n.
tip,tip,en,False,False,,n.
taught,taught,en,False,False,,v.
forgot,forgot,en,False,False,,v.
dawn,dawn,en,False,False,,n.
despis,despise,en,False,False,,n.
saturday,saturday,en,False,False,,n.
whip,whip,en,False,False,,n.
fragil,fragile,en,False,False,,adj.
depress,depression,en,False,False,,n.
gon,gonna,en,False,False,,
velvet,velvet,en,False,False,,n.
goe,goes,en,False,False,,v.
god,god,en,False,False,,n.
content,content,en,False,False,,n.
re,re,en,,True,nltk_sw,
laid,laid,en,False,False,,v.
branch,branches,en,False,False,,n.
got,got,en,False,False,,v.
forth,forth,en,False,False,,adv.
swell,swell,en,False,False,,n.
smart,smart,en,False,False,,adj.
written,written,en,False,False,,v.
hang,hang,en,False,False,,n.
nightmar,nightmare,en,False,False,,n.
situat,situation,en,False,False,,n.
infin,infinity,en,False,False,,n.
free,free,en,False,False,,adj.
redempt,redemption,en,False,False,,n.
boulevard,boulevard,en,False,False,,n.
evil,evil,en,False,False,,n.
silent,silent,en,False,False,,adj.
dancin,dancing,en,False,False,,v.
ate,ate,en,False,False,,v.
sunshin,sunshine,en,False,False,,n.
puzzl,puzzle,en,False,False,,n.
ritual,ritual,en,False,False,,adj.
cosmic,cosmic,en,False,False,,adj.
rais,raise,en,False,False,,v.
hopeless,hopeless,en,False,False,,adj.
can’t,can’t,en,False,False,,
loud,loud,en,False,False,,adj.
bite,bite,en,False,False,,n.
fuckin,fucking,en,False,False,,n.
fantasi,fantasy,en,False,False,,n.
rang,range,en,False,False,,n.
slept,slept,en,False,False,,v.
jamaica,jamaica,en,False,False,,n.
trembl,tremble,en,False,False,,n.
independ,independent,en,False,False,,adj.
wast,waste,en,False,False,,n.
system,system,en,False,False,,n.
wash,wash,en,False,False,,n.
alreadi,already,en,False,False,,adv.
comin,coming,en,False,False,,v.
thick,thick,en,False,False,,adj.
agre,agree,en,False,False,,v.
hood,hood,en,False,False,,n.
inch,inch,en,False,False,,n.
top,top,en,False,False,,n.
sometim,sometimes,en,False,False,,adv.
fiction,fiction,en,False,False,,n.
tabl,table,en,False,False,,n.
too,too,en,True,True,nltk_sw,adv.
tom,tom,en,False,False,,n.
rockin,rocking,en,False,False,,v.
dwell,dwell,en,False,False,,n.
hollywood,hollywood,en,False,False,,n.
john,john,en,False,False,,n.
bitter,bitter,en,False,False,,adj.
listen,listen,en,False,False,,v.
murder,murder,en,False,False,,n.
consol,consolation,en,False,False,,n.
tool,tool,en,False,False,,n.
took,took,en,False,False,,v.
wisdom,wisdom,en,False,False,,n.
western,western,en,False,False,,adj.
crawl,crawl,en,False,False,,n.
cri,cry,en,False,False,,v.
preacher,preacher,en,False,False,,n.
silli,silly,en,False,False,,adj.
target,target,en,False,False,,n.
thirsti,thirsty,en,False,False,,adj.
provid,provide,en,False,False,,v.
coward,coward,en,False,False,,n.
tree,tree,en,False,False,,n.
hors,horse,en,False,False,,n.
shower,shower,en,False,False,,n.
matter,matter,en,False,False,,n.
flame,flame,en,False,False,,n.
minut,minute,en,False,False,,n.
rag,rag,en,False,False,,n.
fashion,fashion,en,False,False,,n.
ran,ran,en,False,False,,v.
mind,mind,en,False,False,,n.
mine,mine,en,False,False,,n.
drip,drip,en,False,False,,n.
raw,raw,en,False,False,,adj.
rat,rat,en,False,False,,n.
seed,seed,en,False,False,,n.
rap,rap,en,False,False,,n.
seen,seen,en,False,False,,v.
seem,seems,en,False,False,,v.
it’,it’s,en,False,False,,
seek,seek,en,False,False,,v.
boogi,boogie,en,False,False,,n.
salvat,salvation,en,False,False,,n.
strength,strength,en,False,False,,n.
realm,realm,en,False,False,,n.
alibi,alibi,en,False,False,,n.
especi,especially,en,False,False,,adv.
snow,snow,en,False,False,,n.
chest,chest,en,False,False,,n.
rome,rome,en,False,False,,n.
i´m,i´m,en,False,False,,
hum,hum,en,False,False,,n.
rider,rider,en,False,False,,n.
blue,blue,en,False,False,,n.
crippl,crippled,en,False,False,,v.
plenti,plenty,en,False,False,,n.
though,though,en,False,False,,
scienc,science,en,False,False,,n.
doin,doing,en,False,False,,v.
object,object,en,False,False,,n.
mouth,mouth,en,False,False,,n.
addict,addicted,en,False,False,,v.
letter,letter,en,False,False,,n.
jumpin,jumping,en,False,False,,v.
phase,phase,en,False,False,,n.
coin,coin,en,False,False,,n.
the,the,en,True,True,nltk_sw,
grave,grave,en,False,False,,n.
glow,glow,en,False,False,,n.
tradit,tradition,en,False,False,,n.
singer,singer,en,False,False,,n.
excus,excuse,en,False,False,,n.
don,don’t,en,False,False,,
alarm,alarm,en,False,False,,n.
metal,metal,en,False,False,,n.
dog,dog,en,False,False,,n.
doe,does,en,True,True,nltk_sw,
freeway,freeway,en,False,False,,n.
declar,declare,en,False,False,,v.
left,left,en,False,False,,v.
scream,scream,en,False,False,,n.
came,came,en,False,False,,v.
job,job,en,False,False,,n.
beaten,beaten,en,False,False,,v.
bomb,bomb,en,False,False,,n.
opposit,opposite,en,False,False,,adj.
queen,queen,en,False,False,,n.
pave,paved,en,False,False,,v.
lee,lee,en,False,False,,n.
sanctuari,sanctuary,en,False,False,,adj.
radio,radio,en,False,False,,n.
earth,earth,en,False,False,,n.
toast,toast,en,False,False,,n.
politician,politicians,en,False,False,,n.
just,just,en,True,True,nltk_sw,adv.
spite,spite,en,False,False,,v.
explain,explain,en,False,False,,v.
releas,release,en,False,False,,n.
bust,bust,en,False,False,,n.
sugar,sugar,en,False,False,,n.
bush,bush,en,False,False,,n.
busi,business,en,False,False,,n.
bliss,bliss,en,False,False,,n.
deepest,deepest,en,False,False,,adj.
rich,rich,en,False,False,,adj.
gangsta,gangsta,en,False,False,,n.
do,do,en,,True,non_en,
waltz,waltz,en,False,False,,n.
nasti,nasty,en,False,False,,n.
watch,watch,en,False,False,,n.
pocket,pocket,en,False,False,,n.
dr,dr.,en,False,False,,
bar,bar,en,False,False,,n.
sacrific,sacrifice,en,False,False,,n.
probabl,probably,en,False,False,,adv.
twice,twice,en,False,False,,adv.
bad,bad,en,False,False,,adj.
coke,coke,en,False,False,,n.
steal,steal,en,False,False,,v.
steam,steam,en,False,False,,n.
blew,blew,en,False,False,,v.
vampir,vampire,en,False,False,,n.
liquor,liquor,en,False,False,,n.
light,light,en,False,False,,n.
resist,resist,en,False,False,,v.
goodnight,goodnight,en,False,False,,n.
structur,structure,en,False,False,,n.
respons,responsible,en,False,False,,adj.
fail,fail,en,False,False,,v.
hammer,hammer,en,False,False,,n.
best,best,en,False,False,,adj.
subject,subject,en,False,False,,n.
awar,aware,en,False,False,,adj.
said,said,en,False,False,,v.
onto,onto,en,False,False,,
away,away,en,False,False,,adv.
sail,sail,en,False,False,,n.
mud,mud,en,False,False,,n.
score,score,en,False,False,,n.
finger,fingers,en,False,False,,n.
awak,awake,en,False,False,,adj.
drawn,drawn,en,False,False,,n.
approach,approach,en,False,False,,n.
warrior,warrior,en,False,False,,n.
we,we,en,,True,nltk_sw,
drivin,driving,en,False,False,,v.
wo,won't,en,True,True,nltk_sw,
weak,weak,en,False,False,,adj.
boss,boss,en,False,False,,n.
posit,position,en,False,False,,n.
lazi,lazy,en,False,False,,n.
devour,devour,en,False,False,,n.
wear,wear,en,False,False,,v.
unfold,unfold,en,False,False,,adj.
intox,intoxicated,en,False,False,,v.
news,news,en,False,False,,n.
debt,debt,en,False,False,,n.
roller,roller,en,False,False,,n.
weari,weary,en,False,False,,adj.
cop,cops,en,False,False,,n.
cow,cow,en,False,False,,n.
fault,fault,en,False,False,,n.
ill,ill,en,False,False,,n.
against,against,en,True,True,nltk_sw,
piti,pity,en,False,False,,n.
lookin,looking,en,False,False,,v.
logic,logic,en,False,False,,n.
countri,country,en,False,False,,n.
compromis,compromise,en,False,False,,n.
skill,skills,en,False,False,,v.
assur,assured,en,False,False,,v.
tough,tough,en,False,False,,adj.
alleluia,alleluia!,en,False,False,,
pose,pose,en,False,False,,v.
height,heights,en,False,False,,n.
creat,create,en,False,False,,v.
lick,lick,en,False,False,,n.
darlin,darling,en,False,False,,v.
paradis,paradise,en,False,False,,n.
trumpet,trumpet,en,False,False,,n.
trust,trust,en,False,False,,n.
assum,assume,en,False,False,,n.
speak,speak,en,False,False,,v.
reveng,revenge,en,False,False,,n.
beef,beef,en,False,False,,n.
union,union,en,False,False,,n.
fri,fry,en,False,False,,n.
three,three,en,False,False,,n.
been,been,en,True,True,nltk_sw,
shoulda,shoulda,en,False,False,,n.
beep,beep,en,False,False,,n.
beer,beer,en,False,False,,n.
much,much,en,False,False,,adj.
interest,interest,en,False,False,,n.
tini,tiny,en,False,False,,adj.
threw,threw,en,False,False,,v.
funer,funeral,en,False,False,,n.
life,life,en,False,False,,n.
deeper,deeper,en,False,False,,adj.
spit,spit,en,False,False,,n.
prison,prison,en,False,False,,n.
anywher,anywhere,en,False,False,,adv.
lift,lift,en,False,False,,v.
alley,alley,en,False,False,,n.
child,child,en,False,False,,n.
catch,catch,en,False,False,,n.
cunt,cunt,en,False,False,,n.
chill,chill,en,False,False,,n.
ugli,ugly,en,False,False,,adj.
save,save,en,False,False,,v.
tank,tank,en,False,False,,n.
servic,service,en,False,False,,n.
gasolin,gasoline,en,False,False,,n.
lullabi,lullaby,en,False,False,,n.
air,air,en,False,False,,n.
aim,aim,en,False,False,,n.
near,near,en,False,False,,
neat,neat,en,False,False,,adj.
aid,aids,en,False,False,,n.
possess,possess,en,False,False,,v.
vagu,vague,en,False,False,,adj.
anchor,anchor,en,False,False,,n.
spawn,spawn,en,False,False,,v.
histori,history,en,False,False,,n.
stink,stink,en,False,False,,v.
dizzi,dizzy,en,False,False,,n.
mexico,mexico,en,False,False,,n.
is,is,en,,True,nltk_sw,
it,it,en,,True,nltk_sw,
sting,sting,en,False,False,,v.
shame,shame,en,False,False,,n.
brake,brakes,en,False,False,,v.
in,in,en,,True,nltk_sw,
disappear,disappear,en,False,False,,v.
if,if,en,,True,nltk_sw,
grown,grown,en,False,False,,v.
walkin,walking,en,False,False,,v.
harmoni,harmony,en,False,False,,n.
credit,credit,en,False,False,,n.
perform,perform,en,False,False,,v.
make,make,en,False,False,,v.
mayb,maybe,en,False,False,,adv.
wound,wounds,en,False,False,,n.
complex,complex,en,False,False,,adj.
descend,descend,en,False,False,,n.
jungl,jungle,en,False,False,,n.
success,success,en,False,False,,n.
puttin,putting,en,False,False,,v.
superman,superman,en,False,False,,n.
wheel,wheel,en,False,False,,n.
fuss,fuss,en,False,False,,n.
evid,evidence,en,False,False,,n.
social,social,en,False,False,,n.
rail,rail,en,False,False,,n.
rain,rain,en,False,False,,n.
hand,hand,en,False,False,,n.
delight,delight,en,False,False,,n.
fuse,fuse,en,False,False,,n.
jealous,jealous,en,False,False,,adj.
burnin,burning,en,False,False,,v.
tide,tide,en,False,False,,n.
blister,blisters,en,False,False,,n.
tune,tune,en,False,False,,n.
kid,kids,en,False,False,,n.
butter,butter,en,False,False,,n.
groovi,groovy,en,False,False,,n.
kept,kept,en,False,False,,v.
soak,soaked,en,False,False,,v.
bewar,beware,en,False,False,,v.
itself,itself,en,True,True,nltk_sw,
taint,tainted,en,False,False,,v.
ocean,ocean,en,False,False,,n.
contact,contact,en,False,False,,n.
greatest,greatest,en,False,False,,adj.
thi,thy,en,False,False,,n.
mother,mother,en,False,False,,n.
everyth,everything,en,False,False,,
rout,route,en,False,False,,n.
bonni,bonnie,en,False,False,,n.
background,background,en,False,False,,n.
givin,giving,en,False,False,,v.
yea,yea,en,False,False,,n.
photo,photo,en,False,False,,n.
enjoy,enjoy,en,False,False,,v.
forsaken,forsaken,en,False,False,,n.
monkey,monkey,en,False,False,,n.
farther,farther,en,False,False,,adv.
human,human,en,False,False,,n.
yes,yes,en,False,False,,
sleepi,sleepy,en,False,False,,n.
yet,yet,en,False,False,,adv.
languag,language,en,False,False,,n.
had,had,en,True,True,nltk_sw,
ideal,ideal,en,False,False,,adj.
sensat,sensation,en,False,False,,n.
shout,shout,en,False,False,,n.
spread,spread,en,False,False,,n.
board,board,en,False,False,,n.
endur,endure,en,False,False,,n.
els,else,en,False,False,,adv.
has,has,en,True,True,nltk_sw,
gave,gave,en,False,False,,v.
lake,lake,en,False,False,,n.
vaniti,vanity,en,False,False,,n.
there’,there’s,en,False,False,,
yeh,yeh,en,False,False,,n.
birth,birth,en,False,False,,n.
linda,linda,en,False,False,,n.
dreamt,dreamt,en,False,False,,n.
shadow,shadows,en,False,False,,n.
burnt,burnt,en,False,False,,v.
rumor,rumors,en,False,False,,n.
apart,apart,en,False,False,,adv.
shoulder,shoulder,en,False,False,,n.
measur,measure,en,False,False,,n.
gift,gift,en,False,False,,n.
hunt,hunt,en,False,False,,n.
negat,negative,en,False,False,,adj.
remind,remind,en,False,False,,n.
pavement,pavement,en,False,False,,n.
confid,confidence,en,False,False,,n.
night,night,en,False,False,,n.
hung,hung,en,False,False,,v.
soar,soar,en,False,False,,v.
jean,jeans,en,False,False,,n.
right,right,en,False,False,,adv.
old,old,en,False,False,,adj.
deal,deal,en,False,False,,n.
fold,fold,en,False,False,,v.
crown,crown,en,False,False,,n.
somehow,somehow,en,False,False,,adv.
dead,dead,en,False,False,,adj.
revel,revelation,en,False,False,,n.
intern,international,en,False,False,,n.
dear,dear,en,False,False,,n.
bore,bored,en,False,False,,n.
creep,creep,en,False,False,,n.
for,for,en,True,True,nltk_sw,
bottom,bottom,en,False,False,,n.
drove,drove,en,False,False,,v.
ice,ice,en,False,False,,n.
foe,foe,en,False,False,,n.
overcom,overcome,en,False,False,,v.
convict,conviction,en,False,False,,n.
creatur,creature,en,False,False,,n.
leak,leak,en,False,False,,n.
bold,bold,en,False,False,,adj.
peel,peel,en,False,False,,n.
insecur,insecure,en,False,False,,n.
buri,bury,en,False,False,,n.
keeper,keeper,en,False,False,,n.
post,post,en,False,False,,n.
super,super,en,False,False,,n.
describ,describe,en,False,False,,v.
silhouett,silhouette,en,False,False,,n.
coast,coast,en,False,False,,n.
cowboy,cowboy,en,False,False,,n.
conceal,conceal,en,False,False,,n.
year,years,en,False,False,,n.
choke,choke,en,False,False,,n.
surround,surround,en,False,False,,n.
dinner,dinner,en,False,False,,n.
despair,despair,en,False,False,,n.
horizon,horizon,en,False,False,,n.
cherish,cherish,en,False,False,,n.
commit,commit,en,False,False,,n.
produc,produced,en,False,False,,v.
telephon,telephone,en,False,False,,n.
sock,sock,en,False,False,,n.
ahh,ahh,en,False,False,,n.
float,floating,en,False,False,,v.
bound,bound,en,False,False,,v.
down,down,en,True,True,nltk_sw,
sow,sow,en,False,False,,n.
wrap,wrapped,en,False,False,,v.
chime,chime,en,False,False,,n.
stall,stall,en,False,False,,n.
mass,mass,en,False,False,,n.
east,east,en,False,False,,n.
crowd,crowd,en,False,False,,n.
frustrat,frustration,en,False,False,,n.
support,support,en,False,False,,n.
transform,transform,en,False,False,,n.
sunlight,sunlight,en,False,False,,n.
happi,happy,en,False,False,,adj.
stuck,stuck,en,False,False,,n.
reli,rely,en,False,False,,v.
fought,fought,en,False,False,,v.
way,way,en,False,False,,n.
jane,jane,en,False,False,,n.
call,call,en,False,False,,n.
was,was,en,True,True,nltk_sw,
war,war,en,False,False,,n.
wrote,wrote,en,False,False,,v.
everlast,everlasting,en,False,False,,v.
head,head,en,False,False,,n.
form,form,en,False,False,,n.
offer,offer,en,False,False,,n.
forc,force,en,False,False,,n.
deaf,deaf,en,False,False,,n.
heal,heal,en,False,False,,n.
forg,forged,en,False,False,,v.
fore,'fore,en,False,False,,
jive,jive,en,False,False,,adj.
heat,heat,en,False,False,,n.
hear,hear,en,False,False,,v.
sparkl,sparkle,en,False,False,,v.
TRUE,TRUE,en,False,False,,n.
fort,fort,en,False,False,,n.
electr,electric,en,False,False,,n.
born,born,en,False,False,,v.
daddi,daddy,en,False,False,,n.
until,until,en,True,True,nltk_sw,
whiskey,whiskey,en,False,False,,n.
absenc,absence,en,False,False,,n.
retir,retire,en,False,False,,n.
lili,lily,en,False,False,,n.
proud,proud,en,False,False,,adj.
nobodi,nobody,en,False,False,,
unholi,unholy,en,False,False,,adj.
sale,sale,en,False,False,,n.
exist,exist,en,False,False,,v.
cocain,cocaine,en,False,False,,n.
glanc,glance,en,False,False,,n.
prayer,prayer,en,False,False,,n.
furi,fury,en,False,False,,n.
desir,desire,en,False,False,,n.
ship,ship,en,False,False,,n.
mold,mold,en,False,False,,n.
trip,trip,en,False,False,,n.
shit,shit,en,False,False,,n.
inde,indeed,en,False,False,,adv.
floor,floor,en,False,False,,n.
stake,stake,en,False,False,,n.
when,when,en,True,True,nltk_sw,adv.
actor,actor,en,False,False,,n.
flood,flood,en,False,False,,n.
role,role,en,False,False,,n.
communic,communication,en,False,False,,n.
jone,jones,en,False,False,,n.
tumbl,tumble,en,False,False,,n.
test,test,en,False,False,,n.
tie,tied,en,False,False,,v.
smell,smell,en,False,False,,n.
roll,roll,en,False,False,,n.
realiti,reality,en,False,False,,n.
donât,donât,en,False,False,,n.
felt,felt,en,False,False,,v.
fell,fell,en,False,False,,v.
intent,intentions,en,False,False,,n.
reign,reign,en,False,False,,n.
consid,consider,en,False,False,,v.
balloon,balloon,en,False,False,,n.
billion,billion,en,False,False,,n.
grief,grief,en,False,False,,n.
younger,younger,en,False,False,,adj.
receiv,receive,en,False,False,,v.
rabbit,rabbit,en,False,False,,n.
longer,longer,en,False,False,,adv.
bullet,bullet,en,False,False,,n.
glass,glass,en,False,False,,n.
salt,salt,en,False,False,,n.
essenc,essence,en,False,False,,n.
jacket,jacket,en,False,False,,n.
rough,rough,en,False,False,,adj.
ignor,ignore,en,False,False,,n.
time,time,en,False,False,,n.
push,push,en,False,False,,n.
serious,serious,en,False,False,,adj.
backward,backwards,en,False,False,,adv.
daili,daily,en,False,False,,adj.
gown,gown,en,False,False,,n.
chain,chain,en,False,False,,n.
skip,skip,en,False,False,,n.
rob,rob,en,False,False,,n.
celebr,celebrate,en,False,False,,n.
focus,focus,en,False,False,,n.
invent,invented,en,False,False,,v.
mile,miles,en,False,False,,n.
skin,skin,en,False,False,,n.
chair,chair,en,False,False,,n.
milk,milk,en,False,False,,n.
row,row,en,False,False,,n.
decid,decide,en,False,False,,v.
middl,middle,en,False,False,,n.
zone,zone,en,False,False,,n.
flash,flash,en,False,False,,n.
father,father,en,False,False,,n.
hurtin,hurting,en,False,False,,v.
decis,decision,en,False,False,,n.
rhythm,rhythm,en,False,False,,n.
retreat,retreat,en,False,False,,n.
shoot,shoot,en,False,False,,v.
sourc,source,en,False,False,,n.
string,string,en,False,False,,n.
jerk,jerk,en,False,False,,n.
distant,distant,en,False,False,,adj.
mourn,mourning,en,False,False,,n.
condit,condition,en,False,False,,n.
cook,cook,en,False,False,,n.
join,join,en,False,False,,v.
blast,blast,en,False,False,,n.
exact,exactly,en,False,False,,adv.
rapper,rappers,en,False,False,,v.
cool,cool,en,False,False,,adj.
captiv,captive,en,False,False,,adj.
hour,hour,en,False,False,,n.
level,level,en,False,False,,n.
tear,tears,en,False,False,,v.
statu,statue,en,False,False,,n.
quick,quick,en,False,False,,adj.
tongu,tongue,en,False,False,,n.
guy,guy,en,False,False,,n.
dip,dip,en,False,False,,n.
round,round,en,False,False,,n.
shave,shave,en,False,False,,v.
brave,brave,en,False,False,,n.
regret,regret,en,False,False,,n.
core,core,en,False,False,,n.
trend,trend,en,False,False,,n.
sigh,sigh,en,False,False,,n.
sign,sign,en,False,False,,n.
everytim,everytime,en,False,False,,n.
cost,cost,en,False,False,,n.
