stem,word_m,lang_GT_API,stopword,remove?,remove_class
nine,nine,en,False,False,
niin,niin,fi,True,True,non_en
princess,princess,en,False,False,
bike,bike,en,False,False,
music,music,en,False,False,
calm,calm,en,False,False,
armi,army,en,False,False,
strike,strike,en,False,False,
torment,torment,en,False,False,
tryin,tryin',en,False,False,
type,type,en,False,False,
tell,tell,en,False,False,
willst,willst,de,False,True,non_en
griev,grieve,en,False,False,
saber,saber,pt,False,True,non_en
relax,relax,en,False,False,
relat,relate,en,False,False,
notic,notice,en,False,False,
hurt,hurt,en,False,False,
warn,warning,en,False,False,
phone,phone,en,False,False,
berlin,berlin,de,False,True,non_en
warm,warm,en,False,False,
pecho,pecho,es,False,True,non_en
holi,holy,en,False,False,
aux,aux,fr,True,True,non_en
muss,muss,de,True,True,non_en
moin,moins,fr,False,True,non_en
hole,hole,en,False,False,
pouco,pouco,pt,False,True,non_en
dot,dot,en,False,False,
must,must,en,False,False,
me,me,en,,True,nltk_sw
accid,accident,en,False,False,
für,für,de,True,True,non_en
ma,ma,,,True,non_en
room,room,en,False,False,
mc,mc,,,True,non_en
flore,flores,es,False,True,non_en
mm,mm,,,True,non_en
mo,mo,,,True,non_en
work,work,en,False,False,
mi,mi,,,True,non_en
cant,cant,en,False,False,
roof,roof,en,False,False,
hizo,hizo,es,False,True,non_en
ere,eres,es,True,True,non_en
wors,worse,en,False,False,
wort,worte,de,False,True,non_en
era,era,es,True,True,non_en
sweeter,sweeter,en,False,False,
mr,mr.,en,False,False,
olen,olen,fi,True,True,non_en
im,im,,,True,non_en
libertad,libertad,es,False,True,non_en
my,my,en,,True,nltk_sw
it´,it´s,en,False,False,
gloria,gloria,es,False,True,non_en
jamai,jamais,fr,False,True,non_en
empieza,empieza,es,False,True,non_en
io,io,,,True,non_en
serpent,serpent,en,False,False,
give,give,en,False,False,
vos,vos,fr,True,True,non_en
honey,honey,en,False,False,
mornin,mornin',en,False,False,
wirklich,wirklich,de,False,True,non_en
want,want,en,False,False,
aaah,aaah,id,False,True,non_en
nient,niente,it,False,True,non_en
attract,attraction,en,False,False,
cielo,cielo,es,False,True,non_en
end,end,en,False,False,
solitud,solitude,en,False,False,
thing,things,en,False,False,
polic,police,en,False,False,
hoo,hoo,ar,False,True,non_en
travel,travel,en,False,False,
prendr,prendre,fr,False,True,non_en
ogni,ogni,it,False,True,non_en
how,how,en,True,True,nltk_sw
hot,hot,en,False,False,
confin,confined,en,False,False,
hop,hop,en,False,False,
rewind,rewind,en,False,False,
answer,answer,en,False,False,
gate,gates,en,False,False,
quoi,quoi,fr,False,True,non_en
beach,beach,en,False,False,
quon,qu'on,fr,False,True,non_en
hoy,hoy,es,False,True,non_en
cariño,cariño,es,False,True,non_en
fever,fever,en,False,False,
recogn,recognize,en,False,False,
lai,lai,lv,,True,non_en
mess,mess,en,False,False,
cadillac,cadillac,en,False,False,
ladder,ladder,en,False,False,
after,after,en,True,True,nltk_sw
vicious,vicious,en,False,False,
être,être,fr,False,True,non_en
befor,before,en,True,True,nltk_sw
wrong,wrong,en,False,False,
lay,lay,en,False,False,
beauti,beautiful,en,False,False,
weißt,weißt,de,False,True,non_en
law,law,en,False,False,
lap,lap,en,False,False,
adio,adios,es,False,True,non_en
sentir,sentir,pt,False,True,non_en
domin,domination,en,False,False,
third,third,en,False,False,
acaba,acaba,es,False,True,non_en
sitä,sitä,fi,True,True,non_en
greet,greet,en,False,False,
imposs,impossible,en,False,False,
hasta,hasta,es,True,True,non_en
wink,wink,en,False,False,
green,green,en,False,False,
enter,enter,en,False,False,
plagu,plague,en,False,False,
worst,worst,en,False,False,
wing,wings,en,False,False,
wind,wind,en,False,False,
wine,wine,en,False,False,
origin,original,en,False,False,
peux,peux,fr,False,True,non_en
carnav,carnaval,pt,False,True,non_en
madrugada,madrugada,es,False,True,non_en
deck,deck,en,False,False,
peur,peur,fr,False,True,non_en
crumbl,crumble,en,False,False,
over,over,en,True,True,nltk_sw
failur,failure,en,False,False,
orang,orange,en,False,False,
becaus,because,en,True,True,nltk_sw
peut,peut,fr,False,True,non_en
surrend,surrender,en,False,False,
finest,finest,en,False,False,
london,london,en,False,False,
atrá,atrás,pt,False,True,non_en
mañana,mañana,es,False,True,non_en
vita,vita,it,False,True,non_en
hook,hook,en,False,False,
tennesse,tennessee,en,False,False,
vite,vite,fr,False,True,non_en
dreamer,dreamer,en,False,False,
ima,i'ma,pl,,True,non_en
meno,menos,es,False,True,non_en
gentl,gentle,en,False,False,
vento,vento,it,False,True,non_en
fit,fit,en,False,False,
canto,canto,it,False,True,non_en
despierta,despierta,es,False,True,non_en
fix,fix,en,False,False,
baila,baila,es,False,True,non_en
crew,crew,en,False,False,
better,better,en,False,False,
spoken,spoken,en,False,False,
offic,office,en,False,False,
días,días,es,False,True,non_en
fade,fade,en,False,False,
creo,creo,es,False,True,non_en
hidden,hidden,en,False,False,
fin,fin,fr,False,True,non_en
easier,easier,en,False,False,
fil,fils,fr,False,True,non_en
split,split,en,False,False,
then,then,en,True,True,nltk_sw
them,them,en,True,True,nltk_sw
anim,animal,en,False,False,
trippin,trippin',en,False,False,
était,était,fr,True,True,non_en
thee,thee,en,False,False,
safe,safe,en,False,False,
deinem,deinem,de,True,True,non_en
disturb,disturb,en,False,False,
deinen,deinen,de,True,True,non_en
break,break,en,False,False,
band,band,en,False,False,
bang,bang,en,False,False,
deiner,deiner,de,True,True,non_en
promis,promise,en,False,False,
they,they,en,True,True,nltk_sw
teu,teu,ca,,True,non_en
battl,battle,en,False,False,
one,one,en,False,False,
silver,silver,en,False,False,
bank,bank,en,False,False,
bread,bread,en,False,False,
wenn,wenn,de,True,True,non_en
choic,choice,en,False,False,
victori,victory,en,False,False,
viver,viver,pt,False,True,non_en
chico,chico,es,False,True,non_en
sleepless,sleepless,en,False,False,
l,l,,,True,letter
choir,choir,en,False,False,
luce,luce,it,False,True,non_en
holdin,holdin',en,False,False,
rocki,rocky,en,False,False,
arrow,arrow,en,False,False,
each,each,en,True,True,nltk_sw
puppet,puppet,en,False,False,
went,went,en,False,False,
enamorado,enamorado,es,False,True,non_en
side,side,en,False,False,
bone,bones,en,False,False,
mean,mean,en,False,False,
turnin,turnin',sq,,True,non_en
allah,allah,ms,,True,non_en
overflow,overflow,en,False,False,
spider,spider,en,False,False,
tip,tip,en,False,False,
taught,taught,en,False,False,
forgot,forgot,en,False,False,
dawn,dawn,en,False,False,
despis,despise,en,False,False,
saturday,saturday,en,False,False,
whip,whip,en,False,False,
fragil,fragile,en,False,False,
depress,depression,en,False,False,
gon,gon',en,False,False,
velvet,velvet,en,False,False,
goe,goes,en,False,False,
god,god,en,False,False,
nunca,nunca,es,False,True,non_en
muero,muero,es,False,True,non_en
algún,algún,es,False,True,non_en
matar,matar,pt,False,True,non_en
content,content,en,False,False,
re,re,en,,True,nltk_sw
laid,laid,en,False,False,
branch,branches,en,False,False,
ra,ra,,,True,non_en
mondo,mondo,it,False,True,non_en
got,got,en,False,False,
forth,forth,en,False,False,
swell,swell,en,False,False,
smart,smart,en,False,False,
frei,frei,de,False,True,non_en
written,written,en,False,False,
hang,hang,en,False,False,
nightmar,nightmare,en,False,False,
situat,situation,en,False,False,
infin,infinity,en,False,False,
free,free,en,False,False,
bailar,bailar,es,False,True,non_en
redempt,redemption,en,False,False,
spill,spill,no,False,True,non_en
boulevard,boulevard,en,False,False,
evil,evil,en,False,False,
entrar,entrar,pt,False,True,non_en
nie,nie,pl,,True,non_en
silent,silent,en,False,False,
dancin,dancin',en,False,False,
ate,ate,en,False,False,
sunshin,sunshine,en,False,False,
puzzl,puzzle,en,False,False,
ritual,ritual,en,False,False,
cosmic,cosmic,en,False,False,
ist,ist,de,True,True,non_en
att,att,sv,True,True,non_en
rais,raise,en,False,False,
hopeless,hopeless,en,False,False,
can’t,can’t,en,False,False,
loud,loud,en,False,False,
bite,bite,en,False,False,
fuckin,fuckin',en,False,False,
fantasi,fantasy,en,False,False,
rang,range,en,False,False,
slept,slept,en,False,False,
einer,einer,de,True,True,non_en
tellement,tellement,fr,False,True,non_en
jamaica,jamaica,en,False,False,
fácil,fácil,es,False,True,non_en
trembl,tremble,en,False,False,
independ,independent,en,False,False,
wast,waste,en,False,False,
lágrima,lágrimas,es,False,True,non_en
system,system,en,False,False,
wash,wash,en,False,False,
alreadi,already,en,False,False,
comin,comin',en,False,False,
einen,einen,de,True,True,non_en
thick,thick,en,False,False,
agre,agree,en,False,False,
hood,hood,en,False,False,
pasa,pasa,es,False,True,non_en
endlich,endlich,de,False,True,non_en
é,é,,,True,letter
è,è,,,True,letter
bonita,bonita,pt,False,True,non_en
inch,inch,en,False,False,
top,top,en,False,False,
à,à,,,True,letter
ingen,ingen,sv,True,True,non_en
sometim,sometimes,en,False,False,
å,å,,,True,letter
fiction,fiction,en,False,False,
tabl,table,en,False,False,
toi,toi,fr,True,True,non_en
ton,ton,fr,True,True,non_en
too,too,en,True,True,nltk_sw
tom,tom,en,False,False,
rockin,rockin',en,False,False,
dwell,dwell,en,False,False,
hollywood,hollywood,en,False,False,
john,john,en,False,False,
bitter,bitter,en,False,False,
tod,tod,de,False,True,non_en
listen,listen,en,False,False,
hacer,hacer,es,False,True,non_en
murder,murder,en,False,False,
consol,consolation,en,False,False,
segundo,segundo,pt,False,True,non_en
tool,tool,en,False,False,
took,took,en,False,False,
wisdom,wisdom,en,False,False,
digo,digo,es,False,True,non_en
western,western,en,False,False,
crawl,crawl,en,False,False,
diga,digas,es,False,True,non_en
pluie,pluie,fr,False,True,non_en
cri,cry,en,False,False,
preacher,preacher,en,False,False,
bitt,bitte,de,False,True,non_en
silli,silly,en,False,False,
target,target,en,False,False,
thirsti,thirsty,en,False,False,
provid,provide,en,False,False,
coward,coward,en,False,False,
tra,tra,it,True,True,non_en
tree,tree,en,False,False,
hors,horse,en,False,False,
shower,shower,en,False,False,
matter,matter,en,False,False,
entr,entre,es,True,True,non_en
flame,flame,en,False,False,
ancora,ancora,it,False,True,non_en
k,k,,,True,letter
minut,minute,en,False,False,
rag,rag,en,False,False,
fashion,fashion,en,False,False,
esta,esta,es,True,True,non_en
estc,est-ce,fr,False,True,non_en
ran,ran,en,False,False,
mina,mina,sv,True,True,non_en
esto,esto,es,True,True,non_en
mind,mind,en,False,False,
mine,mine,en,False,False,
drip,drip,en,False,False,
sourir,sourire,fr,False,True,non_en
raw,raw,en,False,False,
rat,rat,en,False,False,
seed,seed,en,False,False,
rap,rap,en,False,False,
seen,seen,en,False,False,
seem,seems,en,False,False,
it’,it’s,en,False,False,
seek,seek,en,False,False,
boogi,boogie,en,False,False,
salvat,salvation,en,False,False,
strength,strength,en,False,False,
realm,realm,en,False,False,
alibi,alibi,en,False,False,
damour,d'amour,fr,False,True,non_en
especi,especially,en,False,False,
snow,snow,en,False,False,
bleib,bleib,de,False,True,non_en
chest,chest,en,False,False,
rome,rome,en,False,False,
i´m,i´m,en,False,False,
hum,hum,en,False,False,
rider,rider,en,False,False,
blue,blue,en,False,False,
crippl,crippled,en,False,False,
despertar,despertar,es,False,True,non_en
nuit,nuit,fr,False,True,non_en
razon,razon,es,False,True,non_en
plenti,plenty,en,False,False,
though,though,en,False,False,
scienc,science,en,False,False,
doin,doin',en,False,False,
object,object,en,False,False,
sue,sue,it,True,True,non_en
ahí,ahí,es,False,True,non_en
sinto,sinto,pt,False,True,non_en
mouth,mouth,en,False,False,
addict,addicted,en,False,False,
letter,letter,en,False,False,
jumpin,jumpin',en,False,False,
phase,phase,en,False,False,
coin,coin,en,False,False,
the,the,en,True,True,nltk_sw
grave,grave,en,False,False,
glow,glow,en,False,False,
tradit,tradition,en,False,False,
singer,singer,en,False,False,
excus,excuse,en,False,False,
don,don?,en,False,False,
doo,doo,sl,,True,non_en
dom,dom,sv,False,True,non_en
flor,flor,pt,False,True,non_en
alarm,alarm,en,False,False,
nei,nei,it,True,True,non_en
metal,metal,en,False,False,
dog,dog,en,False,False,
doe,does,en,True,True,nltk_sw
freeway,freeway,en,False,False,
suo,suo,it,True,True,non_en
declar,declare,en,False,False,
dor,dor,pt,False,True,non_en
dos,dos,pt,True,True,non_en
cama,cama,es,False,True,non_en
left,left,en,False,False,
scream,scream,en,False,False,
came,came,en,False,False,
job,job,en,False,False,
beaten,beaten,en,False,False,
bomb,bomb,en,False,False,
hur,hur,sv,True,True,non_en
cherch,cherche,fr,False,True,non_en
opposit,opposite,en,False,False,
queen,queen,en,False,False,
pave,paved,en,False,False,
lee,lee,en,False,False,
sanctuari,sanctuary,en,False,False,
radio,radio,en,False,False,
earth,earth,en,False,False,
bail,baile,ga,,True,non_en
sagt,sagt,de,False,True,non_en
toast,toast,en,False,False,
och,och,sv,True,True,non_en
wirst,wirst,de,True,True,non_en
politician,politicians,en,False,False,
quieren,quieren,es,False,True,non_en
just,just,en,True,True,nltk_sw
spite,spite,en,False,False,
blut,blut,de,False,True,non_en
ment,mente,es,False,True,non_en
explain,explain,en,False,False,
releas,release,en,False,False,
bust,bust,en,False,False,
sugar,sugar,en,False,False,
bush,bush,en,False,False,
busi,business,en,False,False,
bliss,bliss,en,False,False,
deepest,deepest,en,False,False,
rich,rich,en,False,False,
mend,mend,sq,,True,non_en
gangsta,gangsta,en,False,False,
do,do,en,,True,non_en
waltz,waltz,en,False,False,
dj,dj,,,True,non_en
klein,kleine,de,False,True,non_en
di,di,,,True,non_en
nasti,nasty,en,False,False,
de,de,,,True,non_en
watch,watch,en,False,False,
13,13,,,True,numeric
da,da,,,True,non_en
pocket,pocket,en,False,False,
geen,geen,nl,True,True,non_en
doigt,doigts,fr,False,True,non_en
du,du,,,True,non_en
dr,dr.,en,False,False,
bat,bat,eu,,True,non_en
bar,bar,en,False,False,
bas,bas,fr,False,True,non_en
busco,busco,es,False,True,non_en
ner,ner,sv,False,True,non_en
sacrific,sacrifice,en,False,False,
probabl,probably,en,False,False,
brazo,brazos,es,False,True,non_en
disco,disco,es,False,True,non_en
twice,twice,en,False,False,
bad,bad,en,False,False,
coke,coke,en,False,False,
olhar,olhar,pt,False,True,non_en
sentido,sentido,es,True,True,non_en
steal,steal,en,False,False,
steam,steam,en,False,False,
bah,bah,fr,False,True,non_en
fait,fait,fr,False,True,non_en
blew,blew,en,False,False,
vampir,vampire,en,False,False,
beso,besos,es,False,True,non_en
fair,faire,fr,False,True,non_en
cerca,cerca,it,False,True,non_en
guerra,guerra,es,False,True,non_en
liquor,liquor,en,False,False,
nur,nur,de,True,True,non_en
parol,parole,it,False,True,non_en
light,light,en,False,False,
resist,resist,en,False,False,
bled,bled,sl,,True,non_en
goodnight,goodnight,en,False,False,
num,num,pt,True,True,non_en
structur,structure,en,False,False,
nuh,nuh,id,False,True,non_en
respons,responsible,en,False,False,
fail,fail,en,False,False,
cambiar,cambiar,es,False,True,non_en
foss,fosse,it,True,True,non_en
hammer,hammer,en,False,False,
best,best,en,False,False,
subject,subject,en,False,False,
awar,aware,en,False,False,
said,said,en,False,False,
onto,onto,en,False,False,
bij,bij,nl,True,True,non_en
away,away,en,False,False,
sail,sail,en,False,False,
muy,muy,es,True,True,non_en
insiem,insieme,it,False,True,non_en
mud,mud,en,False,False,
bien,bien,fr,False,True,non_en
score,score,en,False,False,
cómo,cómo,es,False,True,non_en
finger,fingers,en,False,False,
awak,awake,en,False,False,
drawn,drawn,en,False,False,
mun,mun,ar,False,True,non_en
approach,approach,en,False,False,
alguien,alguien,es,False,True,non_en
debo,debo,es,False,True,non_en
warrior,warrior,en,False,False,
we,we,en,,True,nltk_sw
men,men,sv,True,True,non_en
drivin,drivin',en,False,False,
wa,wa,,,True,non_en
wo,won't,en,True,True,nltk_sw
debe,debes,es,False,True,non_en
sera,sera,fr,True,True,non_en
weak,weak,en,False,False,
boss,boss,en,False,False,
posit,position,en,False,False,
lazi,lazy,en,False,False,
devour,devour,en,False,False,
wear,wear,en,False,False,
unfold,unfold,en,False,False,
intox,intoxicated,en,False,False,
news,news,en,False,False,
debt,debt,en,False,False,
roller,roller,en,False,False,
weari,weary,en,False,False,
bras,bras,fr,False,True,non_en
cop,cops,en,False,False,
cos,'cos,pl,,True,non_en
cor,cor,pt,False,True,non_en
ell,elle,fr,True,True,non_en
cow,cow,en,False,False,
herz,herz,de,False,True,non_en
fault,fault,en,False,False,
ill,ill,en,False,False,
questo,questo,it,True,True,non_en
ahora,ahora,es,False,True,non_en
against,against,en,True,True,nltk_sw
kommen,kommen,de,False,True,non_en
piti,pity,en,False,False,
una,una,es,True,True,non_en
kommer,kommer,sv,False,True,non_en
und,und,de,True,True,non_en
une,une,fr,True,True,non_en
lookin,lookin',en,False,False,
logic,logic,en,False,False,
countri,country,en,False,False,
com,com,pt,True,True,non_en
col,col,it,True,True,non_en
con,con,es,True,True,non_en
compromis,compromise,en,False,False,
skill,skills,en,False,False,
assur,assured,en,False,False,
tough,tough,en,False,False,
alleluia,alleluia!,en,False,False,
pose,pose,en,False,False,
demain,demain,fr,False,True,non_en
vain,vain,fi,False,True,non_en
jugar,jugar,es,False,True,non_en
height,heights,en,False,False,
femm,femme,fr,False,True,non_en
creat,create,en,False,False,
lick,lick,en,False,False,
felicidad,felicidad,es,False,True,non_en
darlin,darlin',en,False,False,
paradis,paradise,en,False,False,
trumpet,trumpet,en,False,False,
trust,trust,en,False,False,
assum,assume,en,False,False,
aquella,aquella,es,False,True,non_en
speak,speak,en,False,False,
hijo,hijos,es,False,True,non_en
fra,fra,da,True,True,non_en
reveng,revenge,en,False,False,
sam,sam,bs,,True,non_en
beef,beef,en,False,False,
hay,hay,es,True,True,non_en
union,union,en,False,False,
fri,fry,en,False,False,
sal,sal,af,,True,non_en
three,three,en,False,False,
been,been,en,True,True,nltk_sw
shoulda,shoulda,en,False,False,
beep,beep,en,False,False,
beer,beer,en,False,False,
much,much,en,False,False,
entonc,entonces,es,False,True,non_en
interest,interest,en,False,False,
pro,pro,cs,,True,non_en
tini,tiny,en,False,False,
threw,threw,en,False,False,
funer,funeral,en,False,False,
life,life,en,False,False,
ano,ano,pt,False,True,non_en
deeper,deeper,en,False,False,
spit,spit,en,False,False,
café,café,pt,False,True,non_en
pueden,pueden,es,False,True,non_en
alegr,alegre,pt,False,True,non_en
prison,prison,en,False,False,
anywher,anywhere,en,False,False,
fest,fest,de,False,True,non_en
lift,lift,en,False,False,
alley,alley,en,False,False,
child,child,en,False,False,
catch,catch,en,False,False,
erst,erst,de,False,True,non_en
suav,suave,es,False,True,non_en
cunt,cunt,en,False,False,
chill,chill,en,False,False,
ugli,ugly,en,False,False,
save,save,en,False,False,
tank,tank,en,False,False,
servic,service,en,False,False,
gasolin,gasoline,en,False,False,
lullabi,lullaby,en,False,False,
air,air,en,False,False,
aim,aim,en,False,False,
encontrar,encontrar,es,False,True,non_en
near,near,en,False,False,
ain,ain?,ar,False,True,non_en
neat,neat,en,False,False,
aid,aids,en,False,False,
possess,possess,en,False,False,
vagu,vague,en,False,False,
anchor,anchor,en,False,False,
della,della,it,True,True,non_en
spawn,spawn,en,False,False,
histori,history,en,False,False,
stink,stink,en,False,False,
dizzi,dizzy,en,False,False,
mexico,mexico,en,False,False,
is,is,en,,True,nltk_sw
ir,ir,,,True,non_en
it,it,en,,True,nltk_sw
sting,sting,en,False,False,
ii,ii,,,True,non_en
shame,shame,en,False,False,
ik,ik,,,True,non_en
brake,brakes,en,False,False,
il,il,,,True,non_en
jest,jest,pl,,True,non_en
in,in,en,,True,nltk_sw
amour,amour,fr,False,True,non_en
id,id,,,True,non_en
disappear,disappear,en,False,False,
if,if,en,,True,nltk_sw
grown,grown,en,False,False,
walkin,walkin',en,False,False,
bello,bello,it,False,True,non_en
quand,quand,fr,False,True,non_en
harmoni,harmony,en,False,False,
credit,credit,en,False,False,
perform,perform,en,False,False,
make,make,en,False,False,
mayb,maybe,en,False,False,
wound,wounds,en,False,False,
bella,bella,it,False,True,non_en
busca,busca,es,False,True,non_en
complex,complex,en,False,False,
descend,descend,en,False,False,
jungl,jungle,en,False,False,
success,success,en,False,False,
puttin,puttin',en,False,False,
superman,superman,en,False,False,
jama,jamas,es,False,True,non_en
wheel,wheel,en,False,False,
ello,ellos,es,True,True,non_en
fuss,fuss,en,False,False,
evid,evidence,en,False,False,
buscando,buscando,es,False,True,non_en
ingent,ingenting,sv,False,True,non_en
ella,ella,es,True,True,non_en
social,social,en,False,False,
rail,rail,en,False,False,
rain,rain,en,False,False,
hand,hand,en,False,False,
delight,delight,en,False,False,
fuse,fuse,en,False,False,
vieux,vieux,fr,False,True,non_en
jealous,jealous,en,False,False,
burnin,burnin',en,False,False,
tide,tide,en,False,False,
blister,blisters,en,False,False,
tune,tune,en,False,False,
kid,kids,en,False,False,
butter,butter,en,False,False,
groovi,groovy,en,False,False,
dado,dado,es,False,True,non_en
kept,kept,en,False,False,
soak,soaked,en,False,False,
bewar,beware,en,False,False,
placer,placer,es,False,True,non_en
itself,itself,en,True,True,nltk_sw
taint,tainted,en,False,False,
deixa,deixa,pt,False,True,non_en
ocean,ocean,en,False,False,
contact,contact,en,False,False,
mamma,mamma,sv,False,True,non_en
greatest,greatest,en,False,False,
thi,thy,en,False,False,
mother,mother,en,False,False,
everyth,everything,en,False,False,
hacen,hacen,es,False,True,non_en
rout,route,en,False,False,
tha,tha,el,,True,non_en
bonni,bonnie,en,False,False,
letra,letra,es,False,True,non_en
background,background,en,False,False,
givin,givin',en,False,False,
yea,yea,en,False,False,
photo,photo,en,False,False,
enjoy,enjoy,en,False,False,
forsaken,forsaken,en,False,False,
tão,tão,pt,False,True,non_en
monkey,monkey,en,False,False,
kalt,kalt,de,False,True,non_en
farther,farther,en,False,False,
human,human,en,False,False,
yes,yes,en,False,False,
yer,yer,tr,False,True,non_en
sleepi,sleepy,en,False,False,
yet,yet,en,False,False,
languag,language,en,False,False,
sí,sí,,,True,non_en
hai,hai,hi,,True,non_en
sé,sé,,,True,non_en
han,han,es,True,True,non_en
så,så,,,True,non_en
sä,sä,,,True,non_en
hab,hab,de,True,True,non_en
ela,ela,pt,True,True,non_en
had,had,en,True,True,nltk_sw
ideal,ideal,en,False,False,
voglio,voglio,it,False,True,non_en
ele,ele,pt,True,True,non_en
sensat,sensation,en,False,False,
ooooh,ooooh,nl,False,True,non_en
shout,shout,en,False,False,
spread,spread,en,False,False,
board,board,en,False,False,
endur,endure,en,False,False,
els,else,en,False,False,
har,har,sv,True,True,non_en
has,has,en,True,True,nltk_sw
hat,hat,de,True,True,non_en
wissen,wissen,de,False,True,non_en
só,só,,,True,non_en
gave,gave,en,False,False,
egal,egal,de,False,True,non_en
lake,lake,en,False,False,
unter,unter,de,True,True,non_en
assim,assim,pt,False,True,non_en
escuchar,escuchar,es,False,True,non_en
seel,seele,de,False,True,non_en
