stem	word_m	lang_GT_API
gli	gli	it
tant	tant	fr
daughter	daughter	en
ska	ska	sv
anymor	anymore	en
robin	robin	en
dri	dry	en
jame	james	en
resto	resto	es
cradl	cradle	en
smoke	smoke	en
zombi	zombie	en
studi	study	en
fui	fui	pt
counti	county	en
golden	golden	en
stray	stray	en
ecstasi	ecstasy	en
também	também	pt
solament	solamente	es
tempt	tempted	en
seven	seven	en
strap	strapped	en
brought	brought	en
qui	qui	fr
attitud	attitude	en
toujour	toujours	fr
moral	moral	en
hollow	hollow	en
outra	outra	pt
stern	stern	en
hablar	hablar	es
total	total	en
unit	united	en
plot	plot	en
symphoni	symphony	en
spoke	spoke	en
would	would	en
nine	nine	en
niin	niin	fi
princess	princess	en
bike	bike	en
music	music	en
calm	calm	en
armi	army	en
strike	strike	en
torment	torment	en
tryin	tryin'	en
type	type	en
tell	tell	en
willst	willst	de
griev	grieve	en
saber	saber	pt
relax	relax	en
relat	relate	en
notic	notice	en
hurt	hurt	en
warn	warning	en
phone	phone	en
berlin	berlin	de
warm	warm	en
pecho	pecho	es
holi	holy	en
aux	aux	fr
muss	muss	de
moin	moins	fr
hole	hole	en
pouco	pouco	pt
dot	dot	en
must	must	en
me	me	
accid	accident	en
für	für	de
ma	ma	
room	room	en
mc	mc	
flore	flores	es
mm	mm	
mo	mo	
work	work	en
mi	mi	
cant	cant	en
roof	roof	en
hizo	hizo	es
ere	eres	es
wors	worse	en
wort	worte	de
era	era	es
sweeter	sweeter	en
mr	mr.	en
olen	olen	fi
im	im	
libertad	libertad	es
my	my	
it´	it´s	en
gloria	gloria	es
jamai	jamais	fr
empieza	empieza	es
io	io	
serpent	serpent	en
give	give	en
vos	vos	fr
honey	honey	en
mornin	mornin'	en
wirklich	wirklich	de
want	want	en
aaah	aaah	id
nient	niente	it
attract	attraction	en
cielo	cielo	es
end	end	en
solitud	solitude	en
thing	things	en
polic	police	en
hoo	hoo	ar
travel	travel	en
prendr	prendre	fr
ogni	ogni	it
how	how	en
hot	hot	en
confin	confined	en
hop	hop	en
rewind	rewind	en
answer	answer	en
gate	gates	en
quoi	quoi	fr
beach	beach	en
quon	qu'on	fr
hoy	hoy	es
cariño	cariño	es
fever	fever	en
recogn	recognize	en
lai	lai	lv
mess	mess	en
cadillac	cadillac	en
ladder	ladder	en
after	after	en
vicious	vicious	en
être	être	fr
befor	before	en
wrong	wrong	en
lay	lay	en
beauti	beautiful	en
weißt	weißt	de
law	law	en
lap	lap	en
adio	adios	es
sentir	sentir	pt
domin	domination	en
third	third	en
acaba	acaba	es
sitä	sitä	fi
greet	greet	en
imposs	impossible	en
hasta	hasta	es
wink	wink	en
green	green	en
enter	enter	en
plagu	plague	en
worst	worst	en
wing	wings	en
wind	wind	en
wine	wine	en
origin	original	en
peux	peux	fr
carnav	carnaval	pt
madrugada	madrugada	es
deck	deck	en
peur	peur	fr
crumbl	crumble	en
over	over	en
failur	failure	en
orang	orange	en
becaus	because	en
peut	peut	fr
surrend	surrender	en
finest	finest	en
london	london	en
atrá	atrás	pt
mañana	mañana	es
vita	vita	it
hook	hook	en
tennesse	tennessee	en
vite	vite	fr
dreamer	dreamer	en
ima	i'ma	pl
meno	menos	es
gentl	gentle	en
vento	vento	it
fit	fit	en
canto	canto	it
despierta	despierta	es
fix	fix	en
baila	baila	es
crew	crew	en
better	better	en
spoken	spoken	en
offic	office	en
días	días	es
fade	fade	en
creo	creo	es
hidden	hidden	en
fin	fin	fr
easier	easier	en
fil	fils	fr
split	split	en
then	then	en
them	them	en
anim	animal	en
trippin	trippin'	en
était	était	fr
thee	thee	en
safe	safe	en
deinem	deinem	de
disturb	disturb	en
deinen	deinen	de
break	break	en
band	band	en
bang	bang	en
deiner	deiner	de
promis	promise	en
they	they	en
teu	teu	ca
battl	battle	en
one	one	en
silver	silver	en
bank	bank	en
bread	bread	en
wenn	wenn	de
choic	choice	en
victori	victory	en
viver	viver	pt
chico	chico	es
sleepless	sleepless	en
l	l	
choir	choir	en
luce	luce	it
holdin	holdin'	en
rocki	rocky	en
arrow	arrow	en
each	each	en
puppet	puppet	en
went	went	en
enamorado	enamorado	es
side	side	en
bone	bones	en
mean	mean	en
turnin	turnin'	sq
allah	allah	ms
overflow	overflow	en
spider	spider	en
tip	tip	en
taught	taught	en
forgot	forgot	en
dawn	dawn	en
despis	despise	en
saturday	saturday	en
whip	whip	en
fragil	fragile	en
depress	depression	en
gon	gon'	en
velvet	velvet	en
goe	goes	en
god	god	en
nunca	nunca	es
muero	muero	es
algún	algún	es
matar	matar	pt
content	content	en
re	re	
laid	laid	en
branch	branches	en
ra	ra	
mondo	mondo	it
got	got	en
forth	forth	en
swell	swell	en
smart	smart	en
frei	frei	de
written	written	en
hang	hang	en
nightmar	nightmare	en
situat	situation	en
infin	infinity	en
free	free	en
bailar	bailar	es
redempt	redemption	en
spill	spill	no
boulevard	boulevard	en
evil	evil	en
entrar	entrar	pt
nie	nie	pl
silent	silent	en
dancin	dancin'	en
ate	ate	en
sunshin	sunshine	en
puzzl	puzzle	en
ritual	ritual	en
cosmic	cosmic	en
ist	ist	de
att	att	sv
rais	raise	en
hopeless	hopeless	en
can’t	can’t	en
loud	loud	en
bite	bite	en
fuckin	fuckin'	en
fantasi	fantasy	en
rang	range	en
slept	slept	en
einer	einer	de
tellement	tellement	fr
jamaica	jamaica	en
fácil	fácil	es
trembl	tremble	en
independ	independent	en
wast	waste	en
lágrima	lágrimas	es
system	system	en
wash	wash	en
alreadi	already	en
comin	comin'	en
einen	einen	de
thick	thick	en
agre	agree	en
hood	hood	en
pasa	pasa	es
endlich	endlich	de
é	é	
è	è	
bonita	bonita	pt
inch	inch	en
top	top	en
à	à	
ingen	ingen	sv
sometim	sometimes	en
å	å	
fiction	fiction	en
tabl	table	en
toi	toi	fr
ton	ton	fr
too	too	en
tom	tom	en
rockin	rockin'	en
dwell	dwell	en
hollywood	hollywood	en
john	john	en
bitter	bitter	en
tod	tod	de
listen	listen	en
hacer	hacer	es
murder	murder	en
consol	consolation	en
segundo	segundo	pt
tool	tool	en
took	took	en
wisdom	wisdom	en
digo	digo	es
western	western	en
crawl	crawl	en
diga	digas	es
pluie	pluie	fr
cri	cry	en
preacher	preacher	en
bitt	bitte	de
silli	silly	en
target	target	en
thirsti	thirsty	en
provid	provide	en
coward	coward	en
tra	tra	it
tree	tree	en
hors	horse	en
shower	shower	en
matter	matter	en
entr	entre	es
flame	flame	en
ancora	ancora	it
k	k	
minut	minute	en
rag	rag	en
fashion	fashion	en
esta	esta	es
estc	est-ce	fr
ran	ran	en
mina	mina	sv
esto	esto	es
mind	mind	en
mine	mine	en
drip	drip	en
sourir	sourire	fr
raw	raw	en
rat	rat	en
seed	seed	en
rap	rap	en
seen	seen	en
seem	seems	en
it’	it’s	en
seek	seek	en
boogi	boogie	en
salvat	salvation	en
strength	strength	en
realm	realm	en
alibi	alibi	en
damour	d'amour	fr
especi	especially	en
snow	snow	en
bleib	bleib	de
chest	chest	en
rome	rome	en
i´m	i´m	en
hum	hum	en
rider	rider	en
blue	blue	en
crippl	crippled	en
despertar	despertar	es
nuit	nuit	fr
razon	razon	es
plenti	plenty	en
though	though	en
scienc	science	en
doin	doin'	en
object	object	en
sue	sue	it
ahí	ahí	es
sinto	sinto	pt
mouth	mouth	en
addict	addicted	en
letter	letter	en
jumpin	jumpin'	en
phase	phase	en
coin	coin	en
the	the	en
grave	grave	en
glow	glow	en
tradit	tradition	en
singer	singer	en
excus	excuse	en
don	don?	en
doo	doo	sl
dom	dom	sv
flor	flor	pt
alarm	alarm	en
nei	nei	it
metal	metal	en
dog	dog	en
doe	does	en
freeway	freeway	en
suo	suo	it
declar	declare	en
dor	dor	pt
dos	dos	pt
cama	cama	es
left	left	en
scream	scream	en
came	came	en
job	job	en
beaten	beaten	en
bomb	bomb	en
hur	hur	sv
cherch	cherche	fr
opposit	opposite	en
queen	queen	en
pave	paved	en
lee	lee	en
sanctuari	sanctuary	en
radio	radio	en
earth	earth	en
bail	baile	ga
sagt	sagt	de
toast	toast	en
och	och	sv
wirst	wirst	de
politician	politicians	en
quieren	quieren	es
just	just	en
spite	spite	en
blut	blut	de
ment	mente	es
explain	explain	en
releas	release	en
bust	bust	en
sugar	sugar	en
bush	bush	en
busi	business	en
bliss	bliss	en
deepest	deepest	en
rich	rich	en
mend	mend	sq
gangsta	gangsta	en
do	do	
waltz	waltz	en
dj	dj	
klein	kleine	de
di	di	
nasti	nasty	en
de	de	
watch	watch	en
13	13	
da	da	
pocket	pocket	en
geen	geen	nl
doigt	doigts	fr
du	du	
dr	dr.	en
bat	bat	eu
bar	bar	en
bas	bas	fr
busco	busco	es
ner	ner	sv
sacrific	sacrifice	en
probabl	probably	en
brazo	brazos	es
disco	disco	es
twice	twice	en
bad	bad	en
coke	coke	en
olhar	olhar	pt
sentido	sentido	es
steal	steal	en
steam	steam	en
bah	bah	fr
fait	fait	fr
blew	blew	en
vampir	vampire	en
beso	besos	es
fair	faire	fr
cerca	cerca	it
guerra	guerra	es
liquor	liquor	en
nur	nur	de
parol	parole	it
light	light	en
resist	resist	en
bled	bled	sl
goodnight	goodnight	en
num	num	pt
structur	structure	en
nuh	nuh	id
respons	responsible	en
fail	fail	en
cambiar	cambiar	es
foss	fosse	it
hammer	hammer	en
best	best	en
subject	subject	en
awar	aware	en
said	said	en
onto	onto	en
bij	bij	nl
away	away	en
sail	sail	en
muy	muy	es
insiem	insieme	it
mud	mud	en
bien	bien	fr
score	score	en
cómo	cómo	es
finger	fingers	en
awak	awake	en
drawn	drawn	en
mun	mun	ar
approach	approach	en
alguien	alguien	es
debo	debo	es
warrior	warrior	en
we	we	
men	men	sv
drivin	drivin'	en
wa	wa	
wo	won't	en
debe	debes	es
sera	sera	fr
weak	weak	en
boss	boss	en
posit	position	en
lazi	lazy	en
devour	devour	en
wear	wear	en
unfold	unfold	en
intox	intoxicated	en
news	news	en
debt	debt	en
roller	roller	en
weari	weary	en
bras	bras	fr
cop	cops	en
cos	'cos	pl
cor	cor	pt
ell	elle	fr
cow	cow	en
herz	herz	de
fault	fault	en
ill	ill	en
questo	questo	it
ahora	ahora	es
against	against	en
kommen	kommen	de
piti	pity	en
una	una	es
kommer	kommer	sv
und	und	de
une	une	fr
lookin	lookin'	en
logic	logic	en
countri	country	en
com	com	pt
col	col	it
con	con	es
compromis	compromise	en
skill	skills	en
assur	assured	en
tough	tough	en
alleluia	alleluia!	en
pose	pose	en
demain	demain	fr
vain	vain	fi
jugar	jugar	es
height	heights	en
femm	femme	fr
creat	create	en
lick	lick	en
felicidad	felicidad	es
darlin	darlin'	en
paradis	paradise	en
trumpet	trumpet	en
trust	trust	en
assum	assume	en
aquella	aquella	es
speak	speak	en
hijo	hijos	es
fra	fra	da
reveng	revenge	en
sam	sam	bs
beef	beef	en
hay	hay	es
union	union	en
fri	fry	en
sal	sal	af
three	three	en
been	been	en
shoulda	shoulda	en
beep	beep	en
beer	beer	en
much	much	en
entonc	entonces	es
interest	interest	en
pro	pro	cs
tini	tiny	en
threw	threw	en
funer	funeral	en
life	life	en
ano	ano	pt
deeper	deeper	en
spit	spit	en
café	café	pt
pueden	pueden	es
alegr	alegre	pt
prison	prison	en
anywher	anywhere	en
fest	fest	de
lift	lift	en
alley	alley	en
child	child	en
catch	catch	en
erst	erst	de
suav	suave	es
cunt	cunt	en
chill	chill	en
ugli	ugly	en
save	save	en
tank	tank	en
servic	service	en
gasolin	gasoline	en
lullabi	lullaby	en
air	air	en
aim	aim	en
encontrar	encontrar	es
near	near	en
ain	ain?	ar
neat	neat	en
aid	aids	en
possess	possess	en
vagu	vague	en
anchor	anchor	en
della	della	it
spawn	spawn	en
histori	history	en
stink	stink	en
dizzi	dizzy	en
mexico	mexico	en
is	is	
ir	ir	
it	it	
sting	sting	en
ii	ii	
shame	shame	en
ik	ik	
brake	brakes	en
il	il	
jest	jest	pl
in	in	
amour	amour	fr
id	id	
disappear	disappear	en
if	if	
grown	grown	en
walkin	walkin'	en
bello	bello	it
quand	quand	fr
harmoni	harmony	en
credit	credit	en
perform	perform	en
make	make	en
mayb	maybe	en
wound	wounds	en
bella	bella	it
busca	busca	es
complex	complex	en
descend	descend	en
jungl	jungle	en
success	success	en
puttin	puttin'	en
superman	superman	en
jama	jamas	es
wheel	wheel	en
ello	ellos	es
fuss	fuss	en
evid	evidence	en
buscando	buscando	es
ingent	ingenting	sv
ella	ella	es
social	social	en
rail	rail	en
rain	rain	en
hand	hand	en
delight	delight	en
fuse	fuse	en
vieux	vieux	fr
jealous	jealous	en
burnin	burnin'	en
tide	tide	en
blister	blisters	en
tune	tune	en
kid	kids	en
butter	butter	en
groovi	groovy	en
dado	dado	es
kept	kept	en
soak	soaked	en
bewar	beware	en
placer	placer	es
itself	itself	en
taint	tainted	en
deixa	deixa	pt
ocean	ocean	en
contact	contact	en
mamma	mamma	sv
greatest	greatest	en
thi	thy	en
mother	mother	en
everyth	everything	en
hacen	hacen	es
rout	route	en
tha	tha	el
bonni	bonnie	en
letra	letra	es
background	background	en
givin	givin'	en
yea	yea	en
photo	photo	en
enjoy	enjoy	en
forsaken	forsaken	en
tão	tão	pt
monkey	monkey	en
kalt	kalt	de
farther	farther	en
human	human	en
yes	yes	en
yer	yer	tr
sleepi	sleepy	en
yet	yet	en
languag	language	en
sí	sí	
hai	hai	hi
sé	sé	
han	han	es
så	så	
sä	sä	
hab	hab	de
ela	ela	pt
had	had	en
ideal	ideal	en
voglio	voglio	it
ele	ele	pt
sensat	sensation	en
ooooh	ooooh	nl
shout	shout	en
spread	spread	en
board	board	en
endur	endure	en
els	else	en
har	har	sv
has	has	en
hat	hat	de
wissen	wissen	de
só	só	
gave	gave	en
egal	egal	de
lake	lake	en
unter	unter	de
assim	assim	pt
escuchar	escuchar	es
seel	seele	de
vaniti	vanity	en
there’	there’s	en
yeh	yeh	en
birth	birth	en
linda	linda	en
dreamt	dreamt	en
shadow	shadows	en
burnt	burnt	en
rumor	rumors	en
apart	apart	en
shoulder	shoulder	en
measur	measure	en
gift	gift	en
hunt	hunt	en
negat	negative	en
50	50	
deus	deus	pt
remind	remind	en
pavement	pavement	en
pasion	pasion	es
confid	confidence	en
night	night	en
hung	hung	en
amor	amor	pt
soar	soar	en
jean	jeans	en
right	right	en
old	old	en
ole	ole	fi
deal	deal	en
oli	oli	fi
fold	fold	en
crown	crown	en
somehow	somehow	en
dead	dead	en
tenemo	tenemos	es
revel	revelation	en
intern	international	en
dear	dear	en
bore	bored	en
bord	bord	fr
creer	creer	es
creep	creep	en
decirt	decirte	es
ici	ici	fr
ich	ich	de
for	for	en
bottom	bottom	en
drove	drove	en
ice	ice	en
foe	foe	en
fog	fog	hu
uma	uma	pt
overcom	overcome	en
convict	conviction	en
strada	strada	it
creatur	creature	en
leak	leak	en
vielleicht	vielleicht	de
bold	bold	en
peel	peel	en
suelo	suelo	es
quedo	quedo	es
insecur	insecure	en
coro	coro	it
buri	bury	en
corp	corps	fr
pensando	pensando	es
corr	corre	es
keeper	keeper	en
post	post	en
â	Â	
super	super	en
describ	describe	en
zur	zur	de
silhouett	silhouette	en
difícil	difícil	es
coast	coast	en
cowboy	cowboy	en
conceal	conceal	en
year	years	en
choke	choke	en
surround	surround	en
dinner	dinner	en
despair	despair	en
plus	plus	fr
algo	algo	es
horizon	horizon	en
cherish	cherish	en
mismo	mismo	es
commit	commit	en
esperar	esperar	es
coraz	coraz?	pl
produc	produced	en
zum	zum	de
lieb	liebe	de
telephon	telephone	en
aber	aber	de
cuor	cuore	it
soi	sois	fr
sock	sock	en
ahh	ahh	en
float	floating	en
som	som	sv
bound	bound	en
son	son	fr
down	down	en
loin	loin	fr
sou	sou	el
sow	sow	en
vuelv	vuelve	es
wrap	wrapped	en
chime	chime	en
encor	encore	fr
stall	stall	en
mass	mass	en
glaub	glaub	de
east	east	en
veneno	veneno	es
crowd	crowd	en
wah	wah	id
avait	avait	fr
frustrat	frustration	en
support	support	en
transform	transform	en
sunlight	sunlight	en
happi	happy	en
stuck	stuck	en
reli	rely	en
fought	fought	en
gib	gib	de
way	way	en
wax	wax	ku
jane	jane	en
call	call	en
wat	wat	nl
was	was	en
war	war	en
wrote	wrote	en
everlast	everlasting	en
head	head	en
form	form	en
offer	offer	en
forc	force	en
deaf	deaf	en
heal	heal	en
daß	daß	de
forg	forged	en
aqui	aqui	pt
fore	'fore	en
jive	jive	en
heat	heat	en
seguir	seguir	es
hear	hear	en
sparkl	sparkle	en
fors	forse	it
mirada	mirada	es
true	true	en
fort	fort	en
viva	viva	pt
electr	electric	en
duel	duele	es
vive	vive	es
born	born	en
vorrei	vorrei	it
layin	layin'	ha
daddi	daddy	en
vivo	vivo	pt
until	until	en
whiskey	whiskey	en
vivr	vivre	fr
absenc	absence	en
freund	freunde	de
trist	triste	es
retir	retire	en
lili	lily	en
labio	labios	es
pude	pude	es
proud	proud	en
weit	weit	de
lleva	lleva	es
petit	petit	fr
nobodi	nobody	en
unholi	unholy	en
sale	sale	en
salir	salir	es
miro	miro	es
exist	exist	en
cocain	cocaine	en
glanc	glance	en
prayer	prayer	en
furi	fury	en
desir	desire	en
ship	ship	en
20	20	
mold	mold	en
trip	trip	en
shit	shit	en
inde	indeed	en
gracia	gracias	es
leer	leer	es
depoi	depois	pt
floor	floor	en
na	na	
stake	stake	en
when	when	en
ne	ne	
actor	actor	en
til	'til	da
flood	flood	en
tin	tin	vi
role	role	en
communic	communication	en
jone	jones	en
tumbl	tumble	en
test	test	en
tie	tied	en
hangin	hangin'	tl
smell	smell	en
roll	roll	en
realiti	reality	en
tame	tame	ja
donât	donât	en
fou	fou	ca
dies	diese	de
felt	felt	en
dieu	dieu	fr
fell	fell	en
intent	intentions	en
reign	reign	en
consid	consider	en
mirando	mirando	es
siento	siento	es
balloon	balloon	en
billion	billion	en
grief	grief	en
younger	younger	en
receiv	receive	en
rabbit	rabbit	en
longer	longer	en
bullet	bullet	en
glass	glass	en
salt	salt	en
essenc	essence	en
licht	licht	nl
jacket	jacket	en
rough	rough	en
ignor	ignore	en
time	time	en
push	push	en
serious	serious	en
backward	backwards	en
daili	daily	en
gown	gown	en
sentimiento	sentimiento	es
chain	chain	en
caricia	caricias	es
skip	skip	en
rob	rob	en
celebr	celebrate	en
focus	focus	en
invent	invented	en
mile	miles	en
selbst	selbst	de
skin	skin	en
amar	amar	bn
chair	chair	en
rot	rot	de
milk	milk	en
row	row	en
macht	macht	de
decid	decide	en
middl	middle	en
ver	ver	es
ves	ves	sk
zone	zone	en
muito	muito	pt
flash	flash	en
father	father	en
puoi	puoi	it
dá	dá	
hurtin	hurtin'	en
decir	decir	es
decis	decision	en
rhythm	rhythm	en
ven	ven	da
veo	veo	es
vem	vem	pt
retreat	retreat	en
preciso	preciso	pt
shoot	shoot	en
sourc	source	en
string	string	en
jerk	jerk	en
olvidar	olvidar	es
nooit	nooit	nl
guarda	guarda	it
distant	distant	en
mourn	mourning	en
escucha	escucha	es
condit	condition	en
cook	cook	en
join	join	en
blast	blast	en
exact	exactly	en
rapper	rappers	en
cool	cool	en
dim	dim	cy
din	din	ro
dio	dios	es
captiv	captive	en
hour	hour	en
knockin	knockin'	nl
level	level	en
tear	tears	en
die	die	de
dig	dig	sv
dia	dia	pt
foi	fois	fr
p	p	
statu	statue	en
querer	querer	pt
larm	larmes	fr
diz	diz	pt
gut	gut	de
quick	quick	en
tongu	tongue	en
guy	guy	en
dip	dip	en
round	round	en
dir	dir	de
dis	dis	fr
shave	shave	en
cose	cose	it
brave	brave	en
regret	regret	en
cosa	cosa	it
core	core	en
trend	trend	en
sigh	sigh	en
boca	boca	es
sigo	sigo	es
sign	sign	en
everytim	everytime	en
cost	cost	en
sigu	sigue	es
worn	worn	en
hace	hace	es
patient	patiently	en
helpless	helpless	en
bake	bake	en
port	porte	fr
corazon	corazon	es
malo	malo	bs
vengo	vengo	es
mister	mister	en
queda	queda	es
mall	mall	en
melt	melt	en
uniform	uniform	en
current	current	en
stadt	stadt	de
ancient	ancient	en
nella	nella	it
indiffer	indifference	en
order	order	en
corn	corn	en
burn	burn	en
hart	hart	nl
frío	frío	es
drinkin	drinkin'	en
nen	n'en	sv
ridin	ridin'	en
french	french	en
bi	bi	
water	water	en
juro	juro	pt
melhor	melhor	pt
witch	witch	en
deceit	deceit	en
along	along	en
teacher	teacher	en
wait	waiting	en
box	box	en
boy	boy	en
insan	insane	en
fenc	fence	en
shove	shove	en
invit	invitation	en
bop	bop	en
shift	shift	en
runnin	runnin'	en
culpa	culpa	es
mutta	mutta	fi
screamin	screamin'	en
bow	bow	en
dêtre	d'être	fr
trial	trial	en
patienc	patience	en
bom	bom	pt
bon	bon	fr
boo	boo	en
dusti	dusty	en
colleg	college	en
bob	bob	en
deg	deg	no
guilti	guilty	en
pillow	pillow	en
ourselv	ourselves	en
love	love	en
savoir	savoir	fr
extra	extra	en
ilusión	ilusión	es
rattl	rattle	en
prefer	prefer	en
gesicht	gesicht	de
pasión	pasión	es
tête	tête	fr
fake	fake	en
fool	fool	en
tuesday	tuesday	en
peep	peep	en
market	market	en
bloodi	bloody	en
ando	ando	pt
wealth	wealth	en
memori	memories	en
sake	sake	en
saddl	saddle	en
univers	universe	en
visit	visit	en
impos	imposible	es
everybodi	everybody	en
live	live	en
vivir	vivir	es
prey	prey	en
everywher	everywhere	en
ahhh	ahhh	en
tape	tape	en
angri	angry	en
thru	thru	en
today	today	en
vous	vous	fr
capit	capital	en
jah	jah	et
riot	riot	en
club	club	en
peopl	people	en
ooo	ooo	en
claus	claus	en
lamor	l'amore	it
ooh	ooh	en
refrain	refrain	en
clue	clue	en
downtown	downtown	en
espero	espero	es
drown	drown	en
savior	savior	en
cuanto	cuanto	es
summertim	summertime	en
aun	aun	es
suffoc	suffocate	en
car	car	en
prepar	prepared	en
pretend	pretend	en
judg	judge	en
soul	soul	en
niggaz	niggaz	en
cat	cat	en
fli	fly	en
dyin	dyin'	en
sous	sous	fr
sour	sour	en
whatev	whatever	en
cabeza	cabeza	es
purpos	purpose	en
laughter	laughter	en
materi	material	en
cae	cae	es
heart	heart	en
favourit	favourite	en
stream	stream	en
corazón	corazón	es
noch	noch	de
livet	livet	sv
chip	chips	en
fuck	fuck	en
alleen	alleen	nl
perder	perder	es
heard	heard	en
stroke	stroke	en
chin	chin	en
o	o	
phrase	phrase	en
chemic	chemical	en
feelin	feelin'	en
juli	july	en
stole	stole	en
tar	tar	sv
pink	pink	en
winter	winter	en
soleil	soleil	fr
lifeless	lifeless	en
mehr	mehr	de
foul	foul	en
hippi	hippie	en
aquel	aquel	es
nyt	nyt	fi
write	write	en
alway	always	en
sunday	sunday	en
anyon	anyone	en
actual	actually	en
pure	pure	en
swore	swore	en
llego	llego	es
puro	puro	es
amanec	amanecer	es
afternoon	afternoon	en
map	map	en
mas	mas	pt
mar	mar	es
misma	misma	es
may	may	en
kopf	kopf	de
dive	dive	en
fed	fed	en
spot	spot	en
louder	louder	en
niemand	niemand	de
pattern	patterns	en
mad	mad	en
mag	mag	tl
mai	mais	pt
such	such	en
suck	suck	en
dove	dove	it
grow	grow	en
leve	leve	pt
man	man	en
stress	stress	en
rêve	rêve	fr
neck	neck	en
liquid	liquid	en
conscious	conscious	en
confus	confused	en
goal	goal	en
secur	security	en
favorit	favorite	en
avant	avant	fr
su	su	
st	st.	en
tale	tale	it
inform	information	en
switch	switch	en
etc	etc.	en
jail	jail	en
jaim	j'aime	fr
unleash	unleash	en
tall	tall	en
sa	sa	
ordinari	ordinary	en
talk	talk	en
drunken	drunken	en
cute	cute	en
manera	manera	es
shield	shield	en
anticip	anticipating	en
footstep	footsteps	en
etwa	etwas	de
midnight	midnight	en
agoni	agony	en
immer	immer	de
brain	brain	en
yearn	yearning	en
aha	aha	pl
lyric	lyrics	en
hacia	hacia	es
cold	cold	en
still	still	en
skeleton	skeleton	en
worship	worship	en
tore	tore	de
già	già	it
forma	forma	es
group	group	en
thumb	thumb	en
willow	willow	en
thang	thang	vi
torn	torn	en
jij	jij	nl
shakin	shakin'	en
lyin	lyin'	en
civil	civil	en
window	window	en
whole	whole	en
kaiken	kaiken	fi
maim	m'aimes	fr
mail	mail	en
main	main	en
bounc	bounce	en
insect	insects	en
augen	augen	de
nom	nom	fr
non	non	it
ahi	ahi	es
recal	recall	en
noi	noi	ro
smash	smash	en
javai	j'avais	fr
bein	bein'	ar
nog	nog	nl
shatter	shattered	en
dimmi	dimmi	it
sooner	sooner	en
sol	sol	es
underneath	underneath	en
lunch	lunch	en
sorriso	sorriso	pt
loneli	loneliness	en
conquer	conquer	en
tax	tax	en
disappoint	disappointed	en
not	don't	en
qu	qu'	zh-CN
now	now	en
twilight	twilight	en
hall	hall	en
nor	nor	en
nos	nos	pt
wont	wont	en
term	terms	en
name	name	en
servant	servant	en
mellow	mellow	en
frank	frank	en
drop	drop	en
vaan	vaan	fi
flown	flown	en
separ	separate	en
magazin	magazine	en
savag	savage	en
careless	careless	en
rock	rock	en
nois	noise	en
caminar	caminar	es
collaps	collapse	en
terr	terre	fr
keiner	keiner	de
em	'em	pt
el	el	
en	en	
ei	ei	
eh	eh	
replac	replace	en
eg	eg	
torch	torch	en
står	står	sv
yeah	yeah	en
bodi	body	en
mulher	mulher	pt
ey	ey	
begun	begun	en
ez	ez	
eu	eu	
et	et	
girl	girl	en
summon	summon	en
mommi	mommy	en
es	es	
er	er	
album	album	en
shown	shown	en
ambit	ambition	en
